# eta f fd fdd g gd y p T rho u
0.000000 0.000000 0.000000 0.410812 0.881834 2.125909 0.000000 3531.500000 300.000000 0.041002 0.000000
0.010020 0.000021 0.004128 0.413088 0.903113 2.121196 0.000003 3531.500000 307.238882 0.040036 8.908525
0.020040 0.000083 0.008278 0.415363 0.924342 2.116199 0.000006 3531.500000 314.461217 0.039116 17.866268
0.030060 0.000187 0.012452 0.417634 0.945520 2.110908 0.000009 3531.500000 321.666019 0.038240 26.873162
0.040080 0.000332 0.016648 0.419900 0.966644 2.105316 0.000012 3531.500000 328.852275 0.037405 35.929110
0.050100 0.000520 0.020866 0.422158 0.987710 2.099414 0.000015 3531.500000 336.018942 0.036607 45.033979
0.060120 0.000751 0.025108 0.424409 1.008715 2.093197 0.000018 3531.500000 343.164957 0.035845 54.187610
0.070140 0.001024 0.029372 0.426651 1.029657 2.086659 0.000022 3531.500000 350.289234 0.035116 63.389817
0.080160 0.001339 0.033658 0.428882 1.050531 2.079794 0.000025 3531.500000 357.390668 0.034418 72.640385
0.090180 0.001698 0.037966 0.431101 1.071335 2.072598 0.000028 3531.500000 364.468137 0.033749 81.939076
0.100200 0.002100 0.042297 0.433308 1.092065 2.065066 0.000032 3531.500000 371.520504 0.033109 91.285631
0.110220 0.002546 0.046650 0.435501 1.112718 2.057195 0.000035 3531.500000 378.546620 0.032494 100.679765
0.120240 0.003035 0.051025 0.437680 1.133290 2.048981 0.000039 3531.500000 385.545321 0.031904 110.121174
0.130261 0.003568 0.055421 0.439843 1.153778 2.040422 0.000043 3531.500000 392.515434 0.031338 119.609534
0.140281 0.004146 0.059839 0.441990 1.174179 2.031515 0.000047 3531.500000 399.455778 0.030793 129.144500
0.150301 0.004768 0.064278 0.444120 1.194489 2.022258 0.000050 3531.500000 406.365163 0.030270 138.725710
0.160321 0.005434 0.068739 0.446232 1.214704 2.012648 0.000054 3531.500000 413.242393 0.029766 148.352782
0.170341 0.006145 0.073221 0.448325 1.234821 2.002686 0.000058 3531.500000 420.086264 0.029281 158.025319
0.180361 0.006902 0.077724 0.450398 1.254837 1.992369 0.000062 3531.500000 426.895571 0.028814 167.742904
0.190381 0.007703 0.082247 0.452451 1.274748 1.981697 0.000066 3531.500000 433.669105 0.028364 177.505105
0.200401 0.008550 0.086791 0.454483 1.294549 1.970668 0.000071 3531.500000 440.405651 0.027930 187.311474
0.210421 0.009442 0.091355 0.456493 1.314239 1.959284 0.000075 3531.500000 447.103997 0.027512 197.161547
0.220441 0.010381 0.095939 0.458480 1.333812 1.947543 0.000079 3531.500000 453.762929 0.027108 207.054842
0.230461 0.011365 0.100543 0.460444 1.353266 1.935446 0.000083 3531.500000 460.381231 0.026718 216.990866
