#   x(m)    rho    f_N2    f_O2
-2.00000000e-05  1.23332061  0.99949121  0.00050879
-1.97500000e-05  1.23333308  0.99941001  0.00058999
-1.95000000e-05  1.23334738  0.99931696  0.00068304
-1.92500000e-05  1.23336373  0.99921051  0.00078949
-1.90000000e-05  1.23338241  0.99908894  0.00091106
-1.87500000e-05  1.23340370  0.99895035  0.00104965
-1.85000000e-05  1.23342794  0.99879262  0.00120738
-1.82500000e-05  1.23345547  0.99861342  0.00138658
-1.80000000e-05  1.23348670  0.99841019  0.00158981
-1.77500000e-05  1.23352205  0.99818010  0.00181990
-1.75000000e-05  1.23356202  0.99792004  0.00207996
-1.72500000e-05  1.23360711  0.99762662  0.00237338
-1.70000000e-05  1.23365790  0.99729614  0.00270386
-1.67500000e-05  1.23371502  0.99692457  0.00307543
-1.65000000e-05  1.23377913  0.99650750  0.00349250
-1.62500000e-05  1.23385097  0.99604020  0.00395980
-1.60000000e-05  1.23393134  0.99551752  0.00448248
-1.57500000e-05  1.23402109  0.99493390  0.00506610
-1.55000000e-05  1.23412114  0.99428339  0.00571661
-1.52500000e-05  1.23423249  0.99355957  0.00644043
-1.50000000e-05  1.23435619  0.99275558  0.00724442
-1.47500000e-05  1.23449338  0.99186411  0.00813589
-1.45000000e-05  1.23464527  0.99087735  0.00912265
-1.42500000e-05  1.23481315  0.98978705  0.01021295
-1.40000000e-05  1.23499837  0.98858443  0.01141557
-1.37500000e-05  1.23520237  0.98726026  0.01273974
-1.35000000e-05  1.23542668  0.98580480  0.01419520
-1.32500000e-05  1.23567288  0.98420786  0.01579214
-1.30000000e-05  1.23594266  0.98245875  0.01754125
-1.27500000e-05  1.23623776  0.98054638  0.01945362
-1.25000000e-05  1.23655999  0.97845917  0.02154083
-1.22500000e-05  1.23691126  0.97618518  0.02381482
-1.20000000e-05  1.23729350  0.97371209  0.02628791
-1.17500000e-05  1.23770874  0.97102723  0.02897277
-1.15000000e-05  1.23815906  0.96811766  0.03188234
-1.12500000e-05  1.23864656  0.96497019  0.03502981
-1.10000000e-05  1.23917341  0.96157144  0.03842856
-1.07500000e-05  1.23974181  0.95790791  0.04209209
-1.05000000e-05  1.24035397  0.95396605  0.04603395
-1.02500000e-05  1.24101213  0.94973234  0.05026766
-1.00000000e-05  1.24171853  0.94519335  0.05480665
-9.75000000e-06  1.24247539  0.94033582  0.05966418
-9.50000000e-06  1.24328492  0.93514680  0.06485320
-9.25000000e-06  1.24414929  0.92961370  0.07038630
-9.00000000e-06  1.24507064  0.92372438  0.07627562
-8.75000000e-06  1.24605101  0.91746730  0.08253270
-8.50000000e-06  1.24709240  0.91083157  0.08916843
-8.25000000e-06  1.24819669  0.90380712  0.09619288
-8.00000000e-06  1.24936567  0.89638472  0.10361528
-7.75000000e-06  1.25060099  0.88855616  0.11144384
-7.50000000e-06  1.25190417  0.88031431  0.11968569
-7.25000000e-06  1.25327657  0.87165324  0.12834676
-7.00000000e-06  1.25471936  0.86256830  0.13743170
-6.75000000e-06  1.25623356  0.85305623  0.14694377
-6.50000000e-06  1.25781995  0.84311521  0.15688479
-6.25000000e-06  1.25947911  0.83274497  0.16725503
-6.00000000e-06  1.26121138  0.82194683  0.17805317
-5.75000000e-06  1.26301688  0.81072379  0.18927621
-5.50000000e-06  1.26489546  0.79908052  0.20091948
-5.25000000e-06  1.26684670  0.78702345  0.21297655
-5.00000000e-06  1.26886992  0.77456074  0.22543926
-4.75000000e-06  1.27096416  0.76170236  0.23829764
-4.50000000e-06  1.27312818  0.74845998  0.25154002
-4.25000000e-06  1.27536045  0.73484704  0.26515296
-4.00000000e-06  1.27765915  0.72087870  0.27912130
-3.75000000e-06  1.28002218  0.70657174  0.29342826
-3.50000000e-06  1.28244716  0.69194456  0.30805544
-3.25000000e-06  1.28493141  0.67701707  0.32298293
-3.00000000e-06  1.28747200  0.66181063  0.33818937
-2.75000000e-06  1.29006574  0.64634791  0.35365209
-2.50000000e-06  1.29270916  0.63065282  0.36934718
-2.25000000e-06  1.29539857  0.61475038  0.38524962
-2.00000000e-06  1.29813006  0.59866657  0.40133343
-1.75000000e-06  1.30089951  0.58242824  0.41757176
-1.50000000e-06  1.30370260  0.56606289  0.43393711
-1.25000000e-06  1.30653486  0.54959862  0.45040138
-1.00000000e-06  1.30939164  0.53306388  0.46693612
-7.50000000e-07  1.31226821  0.51648741  0.48351259
-5.00000000e-07  1.31515970  0.49989799  0.50010201
-2.50000000e-07  1.31806119  0.48332438  0.51667562
-3.29284058e-20  1.32096770  0.46679509  0.53320491
2.50000000e-07  1.32387421  0.45033837  0.54966163
5.00000000e-07  1.32677570  0.43398200  0.56601800
7.50000000e-07  1.32966719  0.41775300  0.58224700
1.00000000e-06  1.33254375  0.40167766  0.59832234
1.25000000e-06  1.33540054  0.38578141  0.61421859
1.50000000e-06  1.33823279  0.37008867  0.62991133
1.75000000e-06  1.34103588  0.35462276  0.64537724
2.00000000e-06  1.34380533  0.33940584  0.66059416
2.25000000e-06  1.34653682  0.32445878  0.67554122
2.50000000e-06  1.34922624  0.30980111  0.69019889
2.75000000e-06  1.35186966  0.29545095  0.70454905
3.00000000e-06  1.35446339  0.28142496  0.71857504
3.25000000e-06  1.35700398  0.26773831  0.73226169
3.50000000e-06  1.35948824  0.25440464  0.74559536
3.75000000e-06  1.36191321  0.24143606  0.75856394
4.00000000e-06  1.36427624  0.22884309  0.77115691
4.25000000e-06  1.36657495  0.21663474  0.78336526
4.50000000e-06  1.36880722  0.20481845  0.79518155
4.75000000e-06  1.37097123  0.19340017  0.80659983
5.00000000e-06  1.37306548  0.18238433  0.81761567
