# 1:x(m)  2:rho(kg/m**3) 3:p(Pa) 4:T(K) 5:V(m/s)
0 4.81399 3e+07 3000 0
0.177721 4.81399 3e+07 3000 0
0.179954 4.78896 2.97404e+07 2989.59 16.7332
0.182203 4.76383 2.94808e+07 2979.12 33.5832
0.184467 4.73861 2.92212e+07 2968.6 50.5518
0.186748 4.71331 2.89616e+07 2958.02 67.6409
0.189044 4.68791 2.8702e+07 2947.39 84.8524
0.191358 4.66243 2.84424e+07 2936.7 102.188
0.193689 4.63685 2.81827e+07 2925.94 119.651
0.196036 4.61117 2.79231e+07 2915.13 137.242
0.198401 4.5854 2.76635e+07 2904.26 154.963
0.200784 4.55953 2.74039e+07 2893.33 172.818
0.203185 4.53357 2.71443e+07 2882.33 190.808
0.205604 4.5075 2.68847e+07 2871.28 208.935
0.208042 4.48134 2.66251e+07 2860.15 227.202
0.210499 4.45507 2.63655e+07 2848.96 245.612
0.212976 4.4287 2.61059e+07 2837.71 264.166
0.215472 4.40222 2.58463e+07 2826.39 282.868
0.217988 4.37563 2.55867e+07 2815 301.72
0.220525 4.34894 2.53271e+07 2803.54 320.725
0.223082 4.32214 2.50675e+07 2792.01 339.886
0.22566 4.29523 2.48078e+07 2780.41 359.205
0.228261 4.2682 2.45482e+07 2768.73 378.686
0.230883 4.24106 2.42886e+07 2756.98 398.331
0.233527 4.21381 2.4029e+07 2745.16 418.144
0.236195 4.18643 2.37694e+07 2733.26 438.129
0.238886 4.15894 2.35098e+07 2721.27 458.287
0.2416 4.13132 2.32502e+07 2709.21 478.624
0.244339 4.10358 2.29906e+07 2697.07 499.142
0.247103 4.07571 2.2731e+07 2684.85 519.845
0.249891 4.04772 2.24714e+07 2672.54 540.737
0.252706 4.0196 2.22118e+07 2660.15 561.822
0.255547 3.99134 2.19522e+07 2647.67 583.104
0.258415 3.96296 2.16926e+07 2635.1 604.587
0.26131 3.93443 2.14329e+07 2622.44 626.275
0.264233 3.90577 2.11733e+07 2609.69 648.174
0.267185 3.87696 2.09137e+07 2596.84 670.287
0.270167 3.84802 2.06541e+07 2583.9 692.619
0.273178 3.81892 2.03945e+07 2570.86 715.175
0.27622 3.78968 2.01349e+07 2557.72 737.961
0.279293 3.76029 1.98753e+07 2544.48 760.982
0.282399 3.73074 1.96157e+07 2531.13 784.243
0.285537 3.70104 1.93561e+07 2517.68 807.749
0.28871 3.67117 1.90965e+07 2504.11 831.508
0.291916 3.64115 1.88369e+07 2490.44 855.525
0.295158 3.61095 1.85773e+07 2476.65 879.806
0.298436 3.58059 1.83177e+07 2462.75 904.358
0.301752 3.55006 1.8058e+07 2448.73 929.188
0.305105 3.51935 1.77984e+07 2434.59 954.304
0.308498 3.48846 1.75388e+07 2420.32 979.712
0.311931 3.45738 1.72792e+07 2405.93 1005.42
0.315405 3.42612 1.70196e+07 2391.4 1031.44
0.318922 3.39467 1.676e+07 2376.74 1057.77
0.322482 3.36302 1.65004e+07 2361.95 1084.43
0.326087 3.33117 1.62408e+07 2347.01 1111.43
0.329738 3.29912 1.59812e+07 2331.93 1138.77
0.333437 3.26686 1.57216e+07 2316.71 1166.46
0.337184 3.23439 1.5462e+07 2301.33 1194.52
0.340982 3.20169 1.52024e+07 2285.79 1222.96
0.344832 3.16877 1.49428e+07 2270.1 1251.78
0.348735 3.13563 1.46831e+07 2254.24 1281
0.352694 3.10224 1.44235e+07 2238.21 1310.64
0.356709 3.06862 1.41639e+07 2222.01 1340.7
0.360784 3.03475 1.39043e+07 2205.63 1371.2
0.364919 3.00062 1.36447e+07 2189.06 1402.16
0.369118 2.96624 1.33851e+07 2172.31 1433.59
0.373381 2.93158 1.31255e+07 2155.36 1465.5
0.377712 2.89666 1.28659e+07 2138.2 1497.92
0.382113 2.86144 1.26063e+07 2120.84 1530.86
0.386587 2.82594 1.23467e+07 2103.26 1564.34
0.391136 2.79014 1.20871e+07 2085.46 1598.38
0.395763 2.75402 1.18275e+07 2067.42 1633.01
0.400471 2.71759 1.15679e+07 2049.15 1668.24
0.405264 2.68083 1.13083e+07 2030.63 1704.11
0.410145 2.64374 1.10486e+07 2011.85 1740.63
0.415118 2.60629 1.0789e+07 1992.81 1777.84
0.420186 2.56848 1.05294e+07 1973.49 1815.76
0.425355 2.53029 1.02698e+07 1953.88 1854.43
0.430628 2.49172 1.00102e+07 1933.97 1893.88
0.436011 2.45274 9.7506e+06 1913.75 1934.14
0.441508 2.41335 9.491e+06 1893.2 1975.26
0.447126 2.37352 9.23139e+06 1872.32 2017.28
0.452871 2.33324 8.97178e+06 1851.08 2060.24
0.458748 2.2925 8.71217e+06 1829.46 2104.19
0.464766 2.25126 8.45257e+06 1807.46 2149.19
0.470931 2.20952 8.19296e+06 1785.04 2195.29
0.477254 2.16724 7.93335e+06 1762.2 2242.55
0.483741 2.1244 7.67374e+06 1738.9 2291.05
0.490405 2.08099 7.41414e+06 1715.13 2340.85
0.497255 2.03695 7.15453e+06 1690.85 2392.05
0.504305 1.99228 6.89492e+06 1666.04 2444.72
0.511567 1.94693 6.63531e+06 1640.66 2498.98
0.519057 1.90086 6.37571e+06 1614.67 2554.93
0.526791 1.85403 6.1161e+06 1588.04 2612.69
0.534788 1.80641 5.85649e+06 1560.73 2672.41
0.543068 1.75793 5.59688e+06 1532.68 2734.23
0.551657 1.70854 5.33728e+06 1503.84 2798.34
0.560581 1.65818 5.07767e+06 1474.14 2864.93
0.56987 1.60678 4.81806e+06 1443.52 2934.24
0.57956 1.55426 4.55845e+06 1411.89 3006.51
0.589692 1.50053 4.29884e+06 1379.16 3082.06
0.600315 1.44548 4.03924e+06 1345.22 3161.23
0.603588 1.44548 4.03924e+06 1345.22 3193.96
0.819396 1.44548 4.03924e+06 1345.22 3193.96
0.819386 3.06519 4.03924e+06 4307.22 3193.86
0.860339 3.06519 4.03924e+06 4307.22 3193.86
0.860339 0.348365 30000 300 0
1 0.348365 30000 300 0
