# Hollow Cylinder Extended Flare, Heat Transfer as Btu/ft^2-sec        
# Sensor "Location X/L#" "Run 2" "Run 3" "Run 8" "Run 9" "Run 11" "Run 12" "Run 13" "Run 14"
HT1 0.175 5.59 3.589 4.386 3.289 3.284 3.433 4.117 2.733
HT2 0.245 4.72 3.178 3.953 2.907 2.91 2.981 3.603 2.423
HT3 0.271 4.18 2.692 2.559 2.463 2.48 2.523 3.078 2.056
HT5 0.375 3.88 2.506 2.86 2.048 2.088 2.096 2.562 1.712
HT6 0.425 1.07 2.362 2.624 1.877 1.9 1.911 2.347 1.567
HT7 0.472 0.90 2.348 1.751 1.781 1.796 1.816 2.234 1.495
HT8 0.555 1.03 1.197 0.7745 1.909 1.705 1.732 2.148 1.424
HT9 0.584 0.99 0.9586 0.6244 1.035 1.571 1.845 2.162 1.483
HT10 0.629 1.05 0.9011 0.3981 0.626 1.4 1.074 1.166 0.8912
HT11 0.657 1.04 0.8601 0.4919 0.5526 1.352 0.8418 0.8604 0.6613
HT12 0.681 1.17 0.867 0.5575 0.5276 1.324 0.6025 0.6924 0.552
HT13 0.706 1.06 0.7125 0.6091 0.5267 1.325 0.4966 0.636 0.5321
HT14 0.732 1.19 0.9528 0.5049 0.5643 1.353 0.5223 0.6241 0.5017
HT15 0.755 1.17 0.8866 0.639 0.4765 1.132 0.5296 0.5823 0.4437
HT16 0.780 1.93 1.025 0.7594 0.582 1.306 0.5349 0.6316 0.4897
HT17 0.807 1.06 0.6851 0.7616 0.5427 1.279 0.4858 0.6729 0.5255
HT18 0.830 0.83 0.9825 0.7203 0.6032 1.311 0.5645 0.6536 0.5144
HT19 0.857 0.83 0.9514 0.6636 0.5904 1.397 0.5812 0.6834 0.5106
HT20 0.882 0.82 0.6196 0.3703 0.3212 0.8015 0.3809 0.3268 0.4137
HT21 0.906 1.11 0.9299 0.7659 0.6261 1.225 0.5948 0.7035 0.536
HT22 0.932 1.50 1.275 1.104 0.8099 1.12 0.7601 0.8874 0.6952
HT23 0.961 1.55 1.062 0.9457 0.6488 0.583 0.6222 0.7373 0.5385
HT24 0.982 2.00 1.395 1.275 0.8821 0.7477 0.8476 1.03 0.7384
HT25 1.048 2.23 1.589 1.627 1.248 1.621 1.343 1.578 1.174
HT26 1.080 3.55 1.902 2.188 1.489 2.253 2.061 2.83 1.455
HT27 1.113 3.42 3.211 3.541 2.778 4.277 3.824 3.688 2.729
HT28 1.144 4.75 2.665 2.75 2.279 4.261 2.573 3.71 1.957
HT29 1.177 5.70 3.215 3.257 1.948 4.659 2.746 3.662 2.452
HT30 1.210 8.90 5.909 6.059 4.595 8.768 4.932 6.916 4.527
HT31 1.242 10.80 6.965 6.899 5.317 10.45 5.719 9.552 4.888
HT32 1.275 15.55 10.63 9.84 7.369 13.8 7.786 11.34 6.88
HT33 1.308 22.26 15.81 14.56 10.5 17.76 11.15 10.75 9.559
HT34 1.340 31.42 19 18.11 12.63 16.64 13.23 16.68 11.19
HT35 1.372 40.69 24.98 26.48 17.26 16.87 17.67 21.34 12.25
HT36 1.405 45.00 32.76 40.27 26.73 19.36 26.6 29.82 21.01
HT37 1.492 31.18 16.03 19.59 12.21 6.996 10.91 11.71 8.436
HT38 1.524 23.46 17.84 19.71 13.68 9.116 12.59 13.52 9.715
HT39 1.557 18.60 22.66 26.76 19.29 14.71 18.6 20.19 14.53
HT40 1.589 14.71 13.48 16.24 11.67 9.753 11.5 12.7 9.078
HT41 1.622 15.66 10 11.99 8.684 7.554 8.713 9.721 4.685
HT42 1.654 15.54 9.882 11.14 8.048 7.06 8.04 8.978 6.366
HT43 1.687 15.95 xxxxx 15.63 11.11 9.572 11.16 12.46 8.663
HT44 1.719 16.14 xxxxx 14.41 10.16 8.597 10.23 11.35 7.977
HT45 1.751 xxxxx xxxxx 14.27 9.994 8.373 9.98 11.18 7.812
HT46 1.785 16.30 10.95 13.34 9.374 7.774 9.546 10.52 7.269
HT47 1.817 15.79 11.66 11.68 8.18 6.73 8.166 9.001 6.409
HT48 1.854 15.24 11.34 13.16 9.295 7.686 9.259 10.24 7.311
HT49 1.886 14.98 11.15 12.9 9.155 7.644 9.165 10.05 7.148
HT50 1.918 14.72 10.08 12.86 9.109 7.643 9.153 10.07 7.232
HT51 1.950 14.93 10.71 12.96 9.213 7.716 9.219 10.27 7.291
HT52 1.983 15.90 11.17 12.52 8.906 7.472 8.942 10.03 7.057
HT53 2.016 15.69 10.89 12.45 8.821 7.418 8.866 9.827 6.915
HT54 2.049 16.01 10.66 12.63 8.994 7.49 8.968 10.07 7.398
HT55 2.081 16.01 10.48 12.37 8.834 7.405 8.913 9.762 7.027
# HT56 2.112 xxxxx xxxxx xxxxx xxxxx 7.21 xxxxx xxxxx xxxxx  
# L = 4.004 inches         
