# Hollow Cylinder Extended Flare, Experimental Pressure as psia
# Sensor,Location X/L#,Run 2,Run 3,Run 8,Run 9,Run 11,Run 12,Run 13,Run 14
P1 0.469 0.06844 0.04645 0.04182 0.009292 0.005369 0.007516 0.011186 0.008319
P2 0.523 0.07277 0.04304 0.04754 0.02261 0.005524 0.01015 0.024999 0.01031
P3 0.576 0.07593 0.05294 0.05032 0.02935 0.005457 0.02123 0.039031 0.03073
P5 0.684 0.0769 0.05438 0.05214 0.03311 0.004903 0.02842 0.038371 0.03114
P6 0.737 0.07964 0.05685 0.05484 0.03529 0.004917 0.03336 0.044534 0.03362
P7 0.791 0.0805 0.0578 0.05618 0.03602 0.004877 0.03458 0.041578 0.03499
P8 0.845 0.08004 0.05819 0.05621 0.03754 0.006131 0.03564 0.047878 0.03654
P9 0.898 0.07922 0.05804 0.0564 0.03836 0.01318 0.03416 0.044434 0.03321
P10 0.951 0.07301 0.05313 0.05178 0.03691 0.01604 0.03213 0.041873 0.042
P11 1.081 0.07063 0.05301 0.05204 0.0373 0.02726 0.03458 0.042723 0.03305
P12 1.133 0.0824 0.1291 0.06263 0.04647 0.03935 0.04703 0.053589 0.04189
P13 1.190 0.1106 0.1318 0.08706 0.06378 0.06748 0.05962 0.074099 0.06038
P14 1.241 0.1305 0.06962 0.07358 0.09489 0.1117 0.08787 0.093136 0.091
P15 1.298 0.2346 0.2057 0.1829 0.1338 0.169 0.1221 0.170145 0.1306
P16 1.350 0.3572 0.3071 0.29 0.2083 0.2214 0.1867 0.24092 0.1993
P18 1.456 0.91 0.6807 0.7311 0.429 0.1959 0.4095 0.49977 0.3783
P19 1.514 0.95 0.6279 0.6775 0.3752 0.1422 0.3116 0.39578 0.2588
P21 1.622 0.5029 0.3688 0.28305 0.2025 0.1247 0.1887 0.23442 0.1721
P22 1.674 0.4084 0.2839 0.2918 0.1966 0.1241 0.1815 0.2282 0.1689
P23 1.730 0.424 0.3052 0.3151 0.2078 0.1286 0.1903 0.23954 0.1766
P24 1.784 0.4264 0.307 0.3121 0.205 0.1228 0.1865 0.23349 0.1742
P25 1.839 xxxx 0.3191 0.3343 0.2156 0.1251 0.1959 0.24278 0.1794
P30 2.224 0.4599 0.3227 0.3374 0.2206 0.1266 0.1965 0.24603 0.1792
# P31 2.224 0.4735 0.3223 0.3336 0.2193 0.1324 0.1758 0.25403 xxxx
P32 2.224 0.45732 0.3074 0.3336 0.2183 0.1272 0.2018 0.25367 0.1775
# P33 2.224 0.4676 0.317 0.3388 0.2215 0.1873 0.1333 0.2039 0.25315
# L = 4.004 inches
