#   x(m)    rho    f_N2    f_O2
-2.00000000e-05  1.23334429  0.99933708  0.00066292
-1.97500000e-05  1.23335982  0.99923599  0.00076401
-1.95000000e-05  1.23337751  0.99912084  0.00087916
-1.92500000e-05  1.23339763  0.99898990  0.00101010
-1.90000000e-05  1.23342046  0.99884124  0.00115876
-1.87500000e-05  1.23344635  0.99867275  0.00132725
-1.85000000e-05  1.23347565  0.99848210  0.00151790
-1.82500000e-05  1.23350874  0.99826671  0.00173329
-1.80000000e-05  1.23354607  0.99802380  0.00197620
-1.77500000e-05  1.23358810  0.99775030  0.00224970
-1.75000000e-05  1.23363535  0.99744286  0.00255714
-1.72500000e-05  1.23368838  0.99709784  0.00290216
-1.70000000e-05  1.23374780  0.99671129  0.00328871
-1.67500000e-05  1.23381427  0.99627893  0.00372107
-1.65000000e-05  1.23388850  0.99579614  0.00420386
-1.62500000e-05  1.23397126  0.99525792  0.00474208
-1.60000000e-05  1.23406338  0.99465892  0.00534108
-1.57500000e-05  1.23416576  0.99399336  0.00600664
-1.55000000e-05  1.23427933  0.99325510  0.00674490
-1.52500000e-05  1.23440513  0.99243755  0.00756245
-1.50000000e-05  1.23454424  0.99153370  0.00846630
-1.47500000e-05  1.23469781  0.99053612  0.00946388
-1.45000000e-05  1.23486707  0.98943692  0.01056308
-1.42500000e-05  1.23505331  0.98822778  0.01177222
-1.40000000e-05  1.23525789  0.98689994  0.01310006
-1.37500000e-05  1.23548227  0.98544418  0.01455582
-1.35000000e-05  1.23572794  0.98385086  0.01614914
-1.32500000e-05  1.23599648  0.98210993  0.01789007
-1.30000000e-05  1.23628954  0.98021091  0.01978909
-1.27500000e-05  1.23660883  0.97814295  0.02185705
-1.25000000e-05  1.23695612  0.97589481  0.02410519
-1.22500000e-05  1.23733326  0.97345494  0.02654506
-1.20000000e-05  1.23774212  0.97081150  0.02918850
-1.17500000e-05  1.23818465  0.96795234  0.03204766
-1.15000000e-05  1.23866283  0.96486515  0.03513485
-1.12500000e-05  1.23917869  0.96153741  0.03846259
-1.10000000e-05  1.23973426  0.95795652  0.04204348
-1.07500000e-05  1.24033163  0.95410982  0.04589018
-1.05000000e-05  1.24097289  0.94998467  0.05001533
-1.02500000e-05  1.24166011  0.94556851  0.05443149
-1.00000000e-05  1.24239539  0.94084897  0.05915103
-9.75000000e-06  1.24318079  0.93581389  0.06418611
-9.50000000e-06  1.24401834  0.93045147  0.06954853
-9.25000000e-06  1.24491004  0.92475031  0.07524969
-9.00000000e-06  1.24585782  0.91869954  0.08130046
-8.75000000e-06  1.24686355  0.91228887  0.08771113
-8.50000000e-06  1.24792901  0.90550872  0.09449128
-8.25000000e-06  1.24905589  0.89835028  0.10164972
-8.00000000e-06  1.25024578  0.89080564  0.10919436
-7.75000000e-06  1.25150012  0.88286785  0.11713215
-7.50000000e-06  1.25282023  0.87453104  0.12546896
-7.25000000e-06  1.25420726  0.86579047  0.13420953
-7.00000000e-06  1.25566222  0.85664266  0.14335734
-6.75000000e-06  1.25718590  0.84708539  0.15291461
-6.50000000e-06  1.25877894  0.83711787  0.16288213
-6.25000000e-06  1.26044174  0.82674072  0.17325928
-6.00000000e-06  1.26217450  0.81595606  0.18404394
-5.75000000e-06  1.26397719  0.80476753  0.19523247
-5.50000000e-06  1.26584955  0.79318038  0.20681962
-5.25000000e-06  1.26779105  0.78120143  0.21879857
-5.00000000e-06  1.26980095  0.76883910  0.23116090
-4.75000000e-06  1.27187821  0.75610345  0.24389655
-4.50000000e-06  1.27402157  0.74300611  0.25699389
-4.25000000e-06  1.27622949  0.72956030  0.27043970
-4.00000000e-06  1.27850015  0.71578078  0.28421922
-3.75000000e-06  1.28083151  0.70168381  0.29831619
-3.50000000e-06  1.28322123  0.68728706  0.31271294
-3.25000000e-06  1.28566675  0.67260959  0.32739041
-3.00000000e-06  1.28816524  0.65767173  0.34232827
-2.75000000e-06  1.29071365  0.64249500  0.35750500
-2.50000000e-06  1.29330870  0.62710201  0.37289799
-2.25000000e-06  1.29594688  0.61151637  0.38848363
-2.00000000e-06  1.29862448  0.59576252  0.40423748
-1.75000000e-06  1.30133764  0.57986567  0.42013433
-1.50000000e-06  1.30408228  0.56385163  0.43614837
-1.25000000e-06  1.30685420  0.54774670  0.45225330
-1.00000000e-06  1.30964906  0.53157749  0.46842251
-7.50000000e-07  1.31246242  0.51537087  0.48462913
-5.00000000e-07  1.31528972  0.49915373  0.50084627
-2.50000000e-07  1.31812636  0.48295293  0.51704707
-3.29284058e-20  1.32096770  0.46679509  0.53320491
2.50000000e-07  1.32380903  0.45070660  0.54929340
5.00000000e-07  1.32664568  0.43471342  0.56528658
7.50000000e-07  1.32947298  0.41884082  0.58115918
1.00000000e-06  1.33228633  0.40311341  0.59688659
1.25000000e-06  1.33508119  0.38755500  0.61244500
1.50000000e-06  1.33785311  0.37218849  0.62781151
1.75000000e-06  1.34059776  0.35703583  0.64296417
2.00000000e-06  1.34331091  0.34211786  0.65788214
2.25000000e-06  1.34598852  0.32745430  0.67254570
2.50000000e-06  1.34862669  0.31306363  0.68693637
2.75000000e-06  1.35122174  0.29896306  0.70103694
3.00000000e-06  1.35377015  0.28516850  0.71483150
3.25000000e-06  1.35626864  0.27169446  0.72830554
3.50000000e-06  1.35871416  0.25855409  0.74144591
3.75000000e-06  1.36110388  0.24575914  0.75424086
4.00000000e-06  1.36343524  0.23331993  0.76668007
4.25000000e-06  1.36570591  0.22124535  0.77875465
4.50000000e-06  1.36791382  0.20954291  0.79045709
4.75000000e-06  1.37005718  0.19821870  0.80178130
5.00000000e-06  1.37213445  0.18727745  0.81272255
5.25000000e-06  1.37414434  0.17672254  0.82327746
5.50000000e-06  1.37608585  0.16655605  0.83344395
5.75000000e-06  1.37795820  0.15677881  0.84322119
6.00000000e-06  1.37976089  0.14739041  0.85260959
6.25000000e-06  1.38149365  0.13838930  0.86161070
6.50000000e-06  1.38315645  0.12977281  0.87022719
6.75000000e-06  1.38474949  0.12153725  0.87846275
7.00000000e-06  1.38627317  0.11367791  0.88632209
7.25000000e-06  1.38772813  0.10618921  0.89381079
7.50000000e-06  1.38911516  0.09906470  0.90093530
7.75000000e-06  1.39043527  0.09229717  0.90770283
8.00000000e-06  1.39168961  0.08587868  0.91412132
8.25000000e-06  1.39287950  0.07980069  0.92019931
8.50000000e-06  1.39400638  0.07405408  0.92594592
8.75000000e-06  1.39507185  0.06862924  0.93137076
9.00000000e-06  1.39607758  0.06351613  0.93648387
9.25000000e-06  1.39702535  0.05870438  0.94129562
9.50000000e-06  1.39791705  0.05418331  0.94581669
9.75000000e-06  1.39875460  0.04994200  0.95005800
1.00000000e-05  1.39954000  0.04596942  0.95403058
1.02500000e-05  1.40027528  0.04225437  0.95774563
1.05000000e-05  1.40096251  0.03878565  0.96121435
1.07500000e-05  1.40160376  0.03555203  0.96444797
1.10000000e-05  1.40220113  0.03254236  0.96745764
1.12500000e-05  1.40275671  0.02974557  0.97025443
1.15000000e-05  1.40327256  0.02715072  0.97284928
1.17500000e-05  1.40375074  0.02474707  0.97525293
1.20000000e-05  1.40419327  0.02252409  0.97747591
1.22500000e-05  1.40460213  0.02047147  0.97952853
1.25000000e-05  1.40497927  0.01857920  0.98142080
1.27500000e-05  1.40532656  0.01683755  0.98316245
1.30000000e-05  1.40564585  0.01523710  0.98476290
1.32500000e-05  1.40593891  0.01376876  0.98623124
