#   x(m)    rho    f_N2    f_O2
-2.00000000e-05  1.23328539  0.99972047  0.00027953
-1.97500000e-05  1.23329295  0.99967131  0.00032869
-1.95000000e-05  1.23330172  0.99961418  0.00038582
-1.92500000e-05  1.23331190  0.99954795  0.00045205
-1.90000000e-05  1.23332367  0.99947128  0.00052872
-1.87500000e-05  1.23333728  0.99938271  0.00061729
-1.85000000e-05  1.23335297  0.99928059  0.00071941
-1.82500000e-05  1.23337102  0.99916306  0.00083694
-1.80000000e-05  1.23339176  0.99902806  0.00097194
-1.77500000e-05  1.23341554  0.99887329  0.00112671
-1.75000000e-05  1.23344275  0.99869619  0.00130381
-1.72500000e-05  1.23347383  0.99849392  0.00150608
-1.70000000e-05  1.23350926  0.99826334  0.00173666
-1.67500000e-05  1.23354958  0.99800100  0.00199900
-1.65000000e-05  1.23359536  0.99770308  0.00229692
-1.62500000e-05  1.23364726  0.99736540  0.00263460
-1.60000000e-05  1.23370598  0.99698340  0.00301660
-1.57500000e-05  1.23377228  0.99655208  0.00344792
-1.55000000e-05  1.23384701  0.99606599  0.00393401
-1.52500000e-05  1.23393108  0.99551924  0.00448076
-1.50000000e-05  1.23402547  0.99490542  0.00509458
-1.47500000e-05  1.23413126  0.99421764  0.00578236
-1.45000000e-05  1.23424959  0.99344845  0.00655155
-1.42500000e-05  1.23438169  0.99258987  0.00741013
-1.40000000e-05  1.23452890  0.99163335  0.00836665
-1.37500000e-05  1.23469263  0.99056977  0.00943023
-1.35000000e-05  1.23487438  0.98938943  0.01061057
-1.32500000e-05  1.23507576  0.98808202  0.01191798
-1.30000000e-05  1.23529847  0.98663666  0.01336334
-1.27500000e-05  1.23554428  0.98504190  0.01495810
-1.25000000e-05  1.23581510  0.98328569  0.01671431
-1.22500000e-05  1.23611290  0.98135543  0.01864457
-1.20000000e-05  1.23643973  0.97923800  0.02076200
-1.17500000e-05  1.23679776  0.97691978  0.02308022
-1.15000000e-05  1.23718922  0.97438665  0.02561335
-1.12500000e-05  1.23761640  0.97162412  0.02837588
-1.10000000e-05  1.23808170  0.96861730  0.03138270
-1.07500000e-05  1.23858755  0.96535100  0.03464900
-1.05000000e-05  1.23913645  0.96180979  0.03819021
-1.02500000e-05  1.23973091  0.95797811  0.04202189
-1.00000000e-05  1.24037351  0.95384030  0.04615970
-9.75000000e-06  1.24106682  0.94938073  0.05061927
-9.50000000e-06  1.24181344  0.94458391  0.05541609
-9.25000000e-06  1.24261592  0.93943456  0.06056544
-9.00000000e-06  1.24347681  0.93391777  0.06608223
-8.75000000e-06  1.24439862  0.92801909  0.07198091
-8.50000000e-06  1.24538379  0.92172468  0.07827532
-8.25000000e-06  1.24643466  0.91502142  0.08497858
-8.00000000e-06  1.24755349  0.90789705  0.09210295
-7.75000000e-06  1.24874242  0.90034031  0.09965969
-7.50000000e-06  1.25000344  0.89234105  0.10765895
-7.25000000e-06  1.25133839  0.88389041  0.11610959
-7.00000000e-06  1.25274893  0.87498089  0.12501911
-6.75000000e-06  1.25423649  0.86560651  0.13439349
-6.50000000e-06  1.25580232  0.85576294  0.14423706
-6.25000000e-06  1.25744739  0.84544754  0.15455246
-6.00000000e-06  1.25917246  0.83465956  0.16534044
-5.75000000e-06  1.26097796  0.82340013  0.17659987
-5.50000000e-06  1.26286408  0.81167239  0.18832761
-5.25000000e-06  1.26483066  0.79948155  0.20051845
-5.00000000e-06  1.26687726  0.78683490  0.21316510
-4.75000000e-06  1.26900308  0.77374187  0.22625813
-4.50000000e-06  1.27120701  0.76021403  0.23978597
-4.25000000e-06  1.27348758  0.74626506  0.25373494
-4.00000000e-06  1.27584297  0.73191076  0.26808924
-3.75000000e-06  1.27827103  0.71716898  0.28283102
-3.50000000e-06  1.28076925  0.70205957  0.29794043
-3.25000000e-06  1.28333479  0.68660429  0.31339571
-3.00000000e-06  1.28596445  0.67082669  0.32917331
-2.75000000e-06  1.28865472  0.65475206  0.34524794
-2.50000000e-06  1.29140178  0.63840721  0.36159279
