# "Heat Transfer Data (Btu/ft^2-sec)"           
# "Indented Cone Heat Transfer"           
#           
# Sensor "Location X/L*" "Run 24" "Run 26" "Run 28" "Run 31" "Run 32" "Run 33" "Run 35" "Run 36" "Run 37" "Run 38"
HT57 0.162 19.89 16.78 13.61 12.42 12.93 5.505 13.3 8.813 1.877 8.563
HT58 0.212 18.27 15.39 12.47 12.07 12.32 4.531 12.35 5.566 1.84 8.349
HT59 0.238 6.498 14.19 11.44 11.47 10.28 3.037 11.29 2.706 1.799 7.977
HT60 0.275 2.64 9.446 10.44 11.77 5.889 2.558 11.45 2.082 1.864 8.325
HT61 0.338 2.565 2.257 1.946 10.85 2.135 2.626 10.39 1.691 2.07 2.35
HT1 0.375 2.741 2.015 1.651 6.659 1.963 3.052 6.134 1.798 1.841 1.879
HT62 0.406 2.468 2.267 1.779 2.113 1.844 2.94 2.23 3.361 1.922 1.67
HT2 0.438 2.783 2.262 1.747 1.968 1.997 3.708 1.993 2.22 2.52 1.955
HT3 0.487 2.378 2.386 2.003 1.878 2.251 3.647 2.124 2.591 3.262 2.042
HT4 0.550 2.107 2.591 2.547 2.058 2.39 4.68 2.517 2.95 3.625 2.054
HT5 0.600 2.041 3.06 3.146 2.574 2.492 5.657 2.48 3.415 3.53 2.085
HT6 0.663 4.275 5.198 2.444 3.641 2.219 8.244 2.77 3.751 5.55 1.124
HT7 0.713 5.136 5.295 2.503 10.04 3.126 11.69 4.6 4.532 5.083 1.757
HT8 0.775 7.894 8.309 3.514 8.227 3.907 14.47 6.613 4.778 5.216 2.587
HT9 0.825 13.54 12.54 6.018 11.79 6.219 22.39 9.466 7.613 7.685 3.85
HT10 0.887 24.59 16.63 8.167 14.74 8.999 30.22 12.38 8.911 10.4 5.151
HT11 0.938 40.96 23.78 12.19 23.76 13.15 48.28 16.62 14.43 14.58 7.012
HT63 1.009 58.56 32.25 16.26 54.71 18.05 61.62 39.79 21.27 20.68 8.864
HT34 1.033 76.85 50.95 20.37 42.21 25.04 65.55 47.21 27.89 28.55 10.39
HT35 1.056 82.76 76.79 35.16 26.18 44.7 62.19 30.58 46.87 35.24 23.9
HT36 1.088 66.21 64.59 56.07 21.47 56.39 64.69 22.41 63.77 49.8 32.28
HT37 1.112 49.17 45.62 43.03 17.95 45.74 55.97 19.59 65.35 64.03 27.21
HT38 1.135 40.01 33.79 30.1 16.23 33.59 49.55 16.87 57.54 66.63 20.32
HT39 1.167 35.72 28.14 25.62 16.8 26.38 41.47 16.2 47.33 62.12 18.2
HT40 1.191 30.06 23.27 19.58 17.46 21.03 33.65 16.41 33.34 50.24 14.22
HT41 1.215 29.34 22.4 16.57 18.88 18.15 30.53 17.09 28.05 37.52 12.54
HT42 1.246 27.16 20.66 15.98 18.41 17.29 28.46 17.15 23.84 29.74 11.4
HT43 1.270 27.95 22.26 15.41 17.22 16.52 29.72 17.43 22.77 25.55 11.36
HT44 1.294 26.5 23.05 14.15 15.08 15.77 26.53 15.56 20.89 22.01 10.77
HT45 1.326 27.89 24.15 16.04 14.35 17.09 26.1 14.64 21.98 21.55 11.44
HT46 1.349 29.18 24.12 18.11 14.55 18.94 26.64 14.33 24.28 21.49 11.92
HT47 1.373 25.64 20.43 16.65 13.7 17.36 25.13 13.24 22.93 20.02 10.94
HT48 1.404 24.14 18.94 15.13 14.03 16.38 25.12 13.2 22.66 20.63 10.46
HT49 1.428 22.52 17.64 13.79 13.77 15.26 24.22 12.88 22.15 21.34 9.916
HT50 1.452 28.44 24.11 19.52 15.72 16.57 23.53 18.96 20.53 20.64 11.57
HT51 1.484 24.2 20.53 16.8 13.29 13.74 15.96 16.51 16.96 12.22 9.563
HT52 1.507 24.5 19.83 16.09 12.83 13.26 9.489 15.86 16.44 4.462 9.031
HT53 1.531 22.07 19.03 15.18 12.76 12.67 0 14.73 15.76 2.013 8.793
HT54 1.563 19.92 16.92 13.69 12.18 12.51 5.546 13.3 15.3 1.81 8.869
HT55 1.586 18.64 15.85 12.82 12.2 12.4 4.628 12.61 6.789 1.609 8.337
HT56 1.610 3.346 3.111 2.568 1.92 2.144 6.722 1.566 2.997 4.703 1.2
#           
# "*L = 3.625 inches"           
