# "Pressure Data (psia)"           
# "Indented Cone Pressure"           
#            
# Sensor "Location X/L*" "Run 24" "Run 26" "Run 28" "Run 31" "Run 32" "Run 33" "Run 35" "Run 36" "Run 37" "Run 38"
P36 0.175 0.2714 0.208 0.1428 0.08781 0.1239 0.2378 0.1092 0.1773 0.1853 0.07179
P37 0.225 0.2663 0.2051 0.1373 0.08011 0.1125 0.3037 0.1071 0.1591 0.3027 0.06235
P38 0.275 0.2815 0.2156 0.1467 0.08828 0.1223 0.3798 0.1136 0.1723 0.3558 0.06742
P39 0.350 0.2549 0.1949 0.1344 0.08988 0.1237 0.4165 0.1041 0.287 0.3631 0.06799
P40 0.438 0.2769 0.203 0.1389 0.1022 0.1428 0.4129 0.1103 0.3704 0.3711 0.07597
P2 0.550 0.5558 0.3428 0.1825 0.1121 0.2689 0.4332 0.1122 0.416 0.379 0.08773
P3 0.663 0.5723 0.453 0.322 0.1514 0.3274 0.4398 0.1661 0.4197 0.3817 0.1998
P4 0.775 0.5727 0.457 0.3272 0.2524 0.3282 0.44 0.259 0.4266 0.378 0.2013
P5 0.888 0.5927 0.4752 0.3356 0.2618 0.3425 0.4695 0.2631 0.439 0.3959 0.2156
P41 1.033 0.548 0.4508 0.3122 0.2376 0.3165 0.4212 0.2492 0.4214 0.377 0.1904
P20 1.072 0.598 0.4641 0.3266 0.265 0.3302 0.4911 0.2591 0.4378 0.3837 0.2035
P21 1.112 0.6002 0.471 0.3365 0.3251 0.339 0.5209 0.3179 0.4291 0.3742 0.2486
P22 1.151 0.8118 0.6407 0.4166 0.6876 0.4169 1.164 0.5966 0.5671 0.5056 0.2804
P23 1.191 1.362 1.029 0.6074 0.7631 0.654 1.377 0.6864 0.7011 0.5803 0.421
P24 1.231 1.989 1.583 0.8232 0.5704 0.9258 1.585 0.7085 1.02 0.8372 0.5231
P25 1.271 1.851 1.461 1.086 0.4939 1.078 1.743 0.5182 1.517 1.349 0.3951
P26 1.310 1.3 0.8748 0.7319 0.3368 0.8084 1.179 0.3494 1.312 1.598 0.4526
P27 1.350 0.867 0.6236 0.5328 0.3392 0.5188 0.9772 0.3388 0.9929 1.277 0.2867
P28 1.390 0.9309 0.6281 0.4492 0.4829 0.4721 0.9989 0.424 0.7399 1.021 0.3001
P29 1.430 0.9734 0.7207 0.4779 0.4827 0.4933 1.028 0.4381 0.6744 0.7523 0.3867
P30 1.469 1.069 0.9043 0.5163 0.404 0.545 0.9909 0.4364 0.7173 0.6555 0.3437
P31 1.509 1.247 0.8951 0.6119 0.3887 0.6396 0.9953 0.4146 0.7671 0.6524 0.3475
P32 1.549 1.12 0.8085 0.6284 0.3974 0.6374 1.042 0.395 0.9108 0.7493 0.358
P33 1.588 0.9682 0.7614 0.5332 0.3932 0.5721 1.018 0.3977 0.8747 0.8442 0.326
P34 1.628 0.9603 0.7575 0.5212 0.4325 0.5552 1.01 0.4187 0.8476 0.9188 0.3397
P35 1.628 0.9217 0.6978 0.4885 0.4063 0.5177 0.9555 0.3985 0.7711 0.8444 0.3099
#           
# "*L = 3.625 inches"           
