# s/Rn qw T y+
2.326271e-03 3.687993e+06 1.639667e+03 9.160413e-02
7.148504e-03 3.698218e+06 1.640133e+03 1.294334e-01
1.232095e-02 3.705038e+06 1.640386e+03 1.731950e-01
1.786565e-02 3.709761e+06 1.640584e+03 2.122662e-01
2.380552e-02 3.713613e+06 1.640764e+03 2.480378e-01
3.016425e-02 3.717112e+06 1.640921e+03 2.814472e-01
3.696628e-02 3.720686e+06 1.641071e+03 3.133237e-01
4.423668e-02 3.724581e+06 1.641239e+03 3.441833e-01
5.200103e-02 3.729100e+06 1.641436e+03 3.742325e-01
6.028530e-02 3.734414e+06 1.641666e+03 4.036561e-01
6.911568e-02 3.740543e+06 1.641934e+03 4.325984e-01
7.851837e-02 3.747495e+06 1.642238e+03 4.611665e-01
8.851936e-02 3.755283e+06 1.642584e+03 4.893992e-01
9.914417e-02 3.763876e+06 1.642967e+03 5.172372e-01
1.104176e-01 3.773029e+06 1.643373e+03 5.445613e-01
1.223634e-01 3.782620e+06 1.643802e+03 5.712682e-01
1.350037e-01 3.792460e+06 1.644251e+03 5.973276e-01
1.483591e-01 3.803120e+06 1.644742e+03 6.228225e-01
1.624479e-01 3.798531e+06 1.644601e+03 6.416885e-01
1.772855e-01 3.812662e+06 1.647882e+03 6.766501e-01
1.928847e-01 3.825820e+06 1.648517e+03 6.953008e-01
2.092542e-01 3.830028e+06 1.648782e+03 7.186663e-01
2.263991e-01 3.834955e+06 1.649089e+03 7.411018e-01
2.443198e-01 3.848197e+06 1.649765e+03 7.629490e-01
2.630120e-01 3.854382e+06 1.650159e+03 7.844346e-01
2.824660e-01 3.858808e+06 1.650494e+03 8.057342e-01
3.026665e-01 3.861746e+06 1.650788e+03 8.266813e-01
3.235923e-01 3.863929e+06 1.651073e+03 8.475590e-01
3.452162e-01 3.865848e+06 1.651370e+03 8.683683e-01
3.675046e-01 3.849374e+06 1.650911e+03 8.894037e-01
3.904177e-01 3.837503e+06 1.650674e+03 9.099072e-01
4.139097e-01 3.819734e+06 1.650213e+03 9.295099e-01
4.379286e-01 3.795836e+06 1.649516e+03 9.476254e-01
4.624171e-01 3.765484e+06 1.648562e+03 9.639918e-01
4.873123e-01 3.729578e+06 1.647389e+03 9.782425e-01
5.125471e-01 3.687992e+06 1.645987e+03 9.904064e-01
5.380504e-01 3.640847e+06 1.644352e+03 1.000146e+00
5.637476e-01 3.586795e+06 1.642413e+03 1.007450e+00
5.895622e-01 3.513133e+06 1.639574e+03 1.011077e+00
6.239090e-01 3.430941e+06 1.633941e+03 1.019886e+00
6.667463e-01 3.312285e+06 1.629376e+03 1.021481e+00
7.095835e-01 3.157588e+06 1.622951e+03 1.027177e+00
7.524208e-01 2.993063e+06 1.615787e+03 1.031216e+00
7.952580e-01 2.825698e+06 1.605975e+03 1.034346e+00
8.380953e-01 2.656462e+06 1.597946e+03 1.035645e+00
8.809325e-01 2.484785e+06 1.589324e+03 1.036141e+00
9.237697e-01 2.312688e+06 1.578348e+03 1.035988e+00
9.666070e-01 2.140042e+06 1.568590e+03 1.031884e+00
1.009444e+00 1.972730e+06 1.558457e+03 1.024169e+00
1.052281e+00 1.812418e+06 1.548019e+03 1.014099e+00
1.095119e+00 1.663162e+06 1.536253e+03 1.004516e+00
1.137956e+00 1.516560e+06 1.525188e+03 9.944878e-01
1.180793e+00 1.383104e+06 1.514267e+03 9.841723e-01
1.223630e+00 1.259736e+06 1.503282e+03 9.736069e-01
1.266468e+00 1.143704e+06 1.491981e+03 9.631099e-01
1.309305e+00 1.035197e+06 1.481259e+03 9.521645e-01
1.352142e+00 9.335212e+05 1.469178e+03 9.445598e-01
1.394979e+00 8.590293e+05 1.459638e+03 9.388476e-01
1.437817e+00 7.522750e+05 1.444683e+03 9.431251e-01
1.480657e+00 6.810887e+05 1.433058e+03 9.266212e-01
1.523506e+00 6.344010e+05 1.425539e+03 8.920533e-01
1.566357e+00 5.998021e+05 1.419152e+03 8.615517e-01
1.609207e+00 5.771129e+05 1.414900e+03 8.519938e-01
1.652057e+00 5.607340e+05 1.411834e+03 8.504952e-01
1.694908e+00 5.486994e+05 1.409633e+03 8.510768e-01
1.737758e+00 5.383406e+05 1.407741e+03 8.536069e-01
1.780608e+00 5.285680e+05 1.405920e+03 8.571523e-01
1.823459e+00 5.197546e+05 1.404271e+03 8.617267e-01
1.866309e+00 5.118647e+05 1.402798e+03 8.666534e-01
1.909159e+00 5.041763e+05 1.401328e+03 8.720689e-01
1.952010e+00 4.969363e+05 1.399927e+03 8.777748e-01
1.994860e+00 4.900431e+05 1.398575e+03 8.836563e-01
2.037710e+00 4.836414e+05 1.397315e+03 8.897578e-01
2.080561e+00 4.773465e+05 1.396047e+03 8.958118e-01
2.123411e+00 4.717179e+05 1.394929e+03 9.022027e-01
2.166262e+00 4.656260e+05 1.393646e+03 9.080433e-01
2.209112e+00 4.612484e+05 1.392825e+03 9.139264e-01
2.251962e+00 4.523637e+05 1.390643e+03 9.188259e-01
