# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:mu_t 14:k_t 15:S 16:tke 17:omega 18:massf[0]-air 19:u 20:Ttr
8.513958359947799981e-02 9.527499109507243935e-02 0.000000000000000000e+00 4.393596783501316065e-06 1.769308174696911928e-01 7.129449587633853298e+02 1.491507803665761134e-01 0.000000000000000000e+00 3.159258241690534305e+03 1.581083619833040075e+02 4.137031071501201361e-06 4.776804973632795860e-03 3.629485706565730941e-06 4.097898814612269125e-03 0.000000000000000000e+00 3.796578741647433475e+01 1.850762985875852173e+06 1.000000000000000000e+00 4.463973951614910038e+04 6.219329131302638558e+01
8.513958203306107309e-02 9.690769143297137123e-02 0.000000000000000000e+00 4.388043628689175264e-06 1.769001031816385405e-01 7.129560591166049335e+02 1.866327639524096027e-01 0.000000000000000000e+00 3.160005520827696273e+03 1.581407868712040852e+02 4.138967181528317268e-06 4.779268538568406596e-03 3.208586613096688502e-06 3.622679448662430302e-03 0.000000000000000000e+00 1.836547872104164369e+01 1.012550219922815100e+06 1.000000000000000000e+00 4.465805084329214878e+04 6.221880314879603446e+01
8.513957890351998847e-02 9.853730065351440359e-02 0.000000000000000000e+00 4.376968832391103272e-06 1.769022466943773741e-01 7.129567821226185060e+02 1.863599638730241981e-01 0.000000000000000000e+00 3.160396547064576680e+03 1.581496127651557515e+02 4.139494241456537732e-06 4.779939215622757906e-03 2.935027965888896671e-06 3.313815949326469334e-03 0.000000000000000000e+00 1.148105781525844371e+01 6.919950833695536712e+05 1.000000000000000000e+00 4.466303574601557921e+04 6.222574824996834764e+01
8.513957421743238718e-02 1.001617771521795125e-01 0.000000000000000000e+00 4.360435012634508310e-06 1.769334713860317709e-01 7.129517440437065261e+02 1.608786870462280416e-01 0.000000000000000000e+00 3.161441411897025318e+03 1.581617958712171514e+02 4.140221827979295721e-06 4.780865081356905182e-03 2.718350281092904320e-06 3.069174339064117962e-03 0.000000000000000000e+00 7.865665673635269250e+00 5.119647537986593670e+05 1.000000000000000000e+00 4.466991727358673234e+04 6.223533578012757772e+01
8.513956798462475606e-02 1.017791082417630055e-01 0.000000000000000000e+00 4.338535084340773053e-06 1.770072518218346880e-01 7.129381216126041636e+02 9.645595191577767402e-02 0.000000000000000000e+00 3.163518299804589788e+03 1.581807621274676876e+02 4.141354608517167344e-06 4.782306611889718638e-03 2.553462071920891618e-06 2.883006035470250458e-03 0.000000000000000000e+00 5.828883769678172122e+00 4.040611014376483508e+05 1.000000000000000000e+00 4.468063126290449873e+04 6.225026279954989405e+01
8.513956021813856578e-02 1.033873211976623352e-01 0.000000000000000000e+00 4.311391070895190085e-06 1.770602730315967155e-01 7.129290116653614859e+02 5.559881438657017505e-02 0.000000000000000000e+00 3.164897376822037586e+03 1.581915455744521637e+02 4.141998714927311870e-06 4.783126302061449162e-03 2.419223577889886818e-06 2.731443029017334174e-03 0.000000000000000000e+00 4.546944433799507301e+00 3.327857872525603743e+05 1.000000000000000000e+00 4.468672337720353971e+04 6.225875049780752590e+01
8.513955093416983311e-02 1.049844937954414192e-01 0.000000000000000000e+00 4.279152562086991252e-06 1.770764185998319751e-01 7.129250677137424645e+02 3.968361296282037209e-02 0.000000000000000000e+00 3.165388316050955837e+03 1.581966018833108194e+02 4.142300746741915398e-06 4.783510674530558511e-03 2.310237975457095962e-06 2.608391994483372656e-03 0.000000000000000000e+00 3.688570516833592272e+00 2.827236257964252727e+05 1.000000000000000000e+00 4.468958008469062042e+04 6.226273053987017647e+01
8.513954015200705938e-02 1.065687642156668419e-01 0.000000000000000000e+00 4.241994852918804339e-06 1.770836882670867585e-01 7.129236343040727206e+02 3.354395248248574074e-02 0.000000000000000000e+00 3.165594774371333642e+03 1.581985135875655715e+02 4.142414942033674351e-06 4.783656003123364260e-03 2.220813000259173575e-06 2.507426036910545900e-03 0.000000000000000000e+00 3.081924838608255168e+00 2.457472183920991083e+05 1.000000000000000000e+00 4.469066018091994920e+04 6.226423535912237384e+01
8.513952789394729770e-02 1.081383402048620990e-01 0.000000000000000000e+00 4.200116804082506302e-06 1.770891166820776630e-01 7.129231002108157327e+02 3.186123172612538579e-02 0.000000000000000000e+00 3.165732185793223380e+03 1.581995223265349750e+02 4.142475199353173850e-06 4.783732688765162701e-03 2.142057802749109400e-06 2.418506874083364237e-03 0.000000000000000000e+00 2.629012767982116028e+00 2.173468653508498101e+05 1.000000000000000000e+00 4.469123011489972123e+04 6.226502940654328455e+01
8.513951418520267211e-02 1.096915073976022226e-01 0.000000000000000000e+00 4.153738469836759531e-06 1.770918007990704701e-01 7.129226719548097435e+02 3.102093451476433186e-02 0.000000000000000000e+00 3.165810142784624077e+03 1.582002712610070887e+02 4.142519937392604373e-06 4.783789624119198260e-03 2.068408178066597739e-06 2.335352197613050230e-03 0.000000000000000000e+00 2.278133825648955391e+00 1.950479726020875969e+05 1.000000000000000000e+00 4.469165326260041911e+04 6.226561894735385749e+01
