# Data extracted using http://digitizer.sourceforge.net/
# BS: DFVLR Braunschweig, West Germany wind tunnel
# x/C, surface Mach
# suction surface
0.00256391 0.341641
0.00663303 0.383852
0.00836511 0.364651
0.0239646 0.443286
0.035423 0.470114
0.044962 0.49119
0.0601294 0.512245
0.0809684 0.539037
0.101822 0.567747
0.137756 0.605997
0.173676 0.642328
0.222815 0.690124
0.26611 0.709151
0.309405 0.728179
0.356653 0.774063
0.400135 0.818042
0.445537 0.867771
0.490765 0.894469
0.530236 0.903915
0.571539 0.907595
0.614675 0.90551
0.654117 0.911117
0.691668 0.914811
0.729162 0.910829
0.770379 0.902993
0.807844 0.895171
0.845251 0.879673
0.882687 0.868013
0.920094 0.852514
0.955639 0.838942
1.00058 0.827253
# pressure surface
0.00586962 0.282127
0.082344 0.222333
0.10288 0.208818
0.132697 0.181832
0.162787 0.191314
0.203903 0.170043
0.244918 0.135336
0.292023 0.162027
0.363502 0.186704
0.444478 0.226701
0.525468 0.268616
0.602677 0.306708
0.682036 0.381259
0.759518 0.455818
0.835139 0.532303
0.90529 0.629922
