#         time(s)                  x(m)                  v(m/s)
5.001430771763504951e-03 1.451073449282839767e-01 5.647227200338181774e+01 
1.001237299992834701e-02 5.482281170967850947e-01 1.030797131736722463e+02 
1.501053894155899085e-02 1.164053932779013811e+00 1.423068880504895333e+02 
2.000836217010476883e-02 1.961934149878280742e+00 1.761413054121045718e+02 
2.500490103543584475e-02 2.917952785698903373e+00 2.058131212772982792e+02 
3.000633557257947198e-02 4.014922332916081693e+00 2.322152995862187765e+02 
3.500449751522431707e-02 5.236275698774310428e+00 2.559259010259009415e+02 
4.000043151952677178e-02 6.569990577996450476e+00 2.774190962612635190e+02 
5.001430771763504951e-03 1.451073449282839767e-01 5.647227200338181774e+01 
1.001237299992834701e-02 5.482281170967850947e-01 1.030797131736722463e+02 
1.501053894155899085e-02 1.164053932779013811e+00 1.423068880504895333e+02 
2.000836217010476883e-02 1.961934149878280742e+00 1.761413054121045718e+02 
2.500490103543584475e-02 2.917952785698903373e+00 2.058131212772982792e+02 
3.000633557257947198e-02 4.014922332916081693e+00 2.322152995862187765e+02 
3.500449751522431707e-02 5.236275698774310428e+00 2.559259010259009415e+02 
4.000043151952677178e-02 6.569990577996450476e+00 2.774190962612635190e+02 
5.001430771763504951e-03 1.451073449282839767e-01 5.647227200338181774e+01 
1.001237299992834701e-02 5.482281170967850947e-01 1.030797131736722463e+02 
1.501053894155899085e-02 1.164053932779013811e+00 1.423068880504895333e+02 
2.000836217010476883e-02 1.961934149878280742e+00 1.761413054121045718e+02 
2.500490103543584475e-02 2.917952785698903373e+00 2.058131212772982792e+02 
3.000633557257947198e-02 4.014922332916081693e+00 2.322152995862187765e+02 
3.500449751522431707e-02 5.236275698774310428e+00 2.559259010259009415e+02 
4.000043151952677178e-02 6.569990577996450476e+00 2.774190962612635190e+02 
