# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:mu_t 14:k_t 15:S 16:massf[0]-LUT 17:u 18:T 19:M_local 20:pitot_p
5.089474696586980818e-01 1.194654350516987902e-03 0.000000000000000000e+00 1.634179911285199336e-08 2.554376989660353536e-01 1.924235725131540221e+03 -5.101171441547253105e-02 0.000000000000000000e+00 4.270645881816236943e+04 4.799116934367303884e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 4.231463062692829408e+05 5.824285565986364190e+02 4.009562075947596504e+00 8.933423981990613975e+05
5.089474350060160246e-01 3.583963051507108814e-03 0.000000000000000000e+00 4.902599085016071090e-08 2.553469841292390630e-01 1.924278947873488960e+03 -5.172532393448660282e-02 0.000000000000000000e+00 4.268467509561419138e+04 4.798762166147164407e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.230776731794753578e+05 5.823382756428557059e+02 4.009948569953101227e+00 8.930596190192342037e+05
5.089473657006675644e-01 5.973271752365922650e-03 0.000000000000000000e+00 8.171196312228317753e-08 2.551546672587025055e-01 1.924374313808150873e+03 -5.264636723527530565e-02 0.000000000000000000e+00 4.263993412727164832e+04 4.798086437242053535e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.229469671218548901e+05 5.821663394196345962e+02 4.010712061357578406e+00 8.924644465085443808e+05
5.089472617426377132e-01 8.362580453005431444e-03 0.000000000000000000e+00 1.144009029523873370e-07 2.548846685138737578e-01 1.924501587002308042e+03 -6.379993432682393162e-02 0.000000000000000000e+00 4.257765819468833797e+04 4.797164708090109002e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.227687190618044697e+05 5.819318568652241765e+02 4.011747991087920795e+00 8.916230501550508197e+05
5.089471231319154798e-01 1.075188915333851955e-02 0.000000000000000000e+00 1.470939973637600421e-07 2.545578492316179497e-01 1.924648911877491173e+03 -7.090163750998279557e-02 0.000000000000000000e+00 4.250263360237351299e+04 4.796065320212874212e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.225561775742131285e+05 5.816522503918159828e+02 4.012974771365350968e+00 8.905984327762393514e+05
5.089469498685434967e-01 1.314119785327766410e-02 0.000000000000000000e+00 1.797924333796336639e-07 2.541687038009247668e-01 1.924857228668232665e+03 -1.115278669167130698e-01 0.000000000000000000e+00 4.241332641996990424e+04 4.794753532654443688e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.223026631275634281e+05 5.813187261347680987e+02 4.014507145758572371e+00 8.894077106376464944e+05
5.089467419524787983e-01 1.553050655273483655e-02 0.000000000000000000e+00 2.124973980231081057e-07 2.538032699007548021e-01 1.925043961371464775e+03 -1.210350030809787536e-01 0.000000000000000000e+00 4.232932488966170786e+04 4.793510266482992961e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.220624810596103780e+05 5.810027256440129122e+02 4.015937920560340935e+00 8.882809175111616496e+05
5.089464993837350404e-01 1.791981525162304051e-02 0.000000000000000000e+00 2.452100783174451070e-07 2.534149175471157589e-01 1.925261492161984052e+03 -9.272790385018581105e-02 0.000000000000000000e+00 4.224022736612545850e+04 4.792193986791006637e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.218082892203973606e+05 5.806682755849161595e+02 4.017494908807436538e+00 8.871002533611136023e+05
5.089462221623043403e-01 2.030912394985439837e-02 0.000000000000000000e+00 2.779316612858510588e-07 2.530649894424459312e-01 1.925472343173864147e+03 -3.855818433072120271e-02 0.000000000000000000e+00 4.216011681132308877e+04 4.791013401123923359e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.215803852615545038e+05 5.803683983616574551e+02 4.018924979646764761e+00 8.860493828753305133e+05
5.089459102882101238e-01 2.269843264734203864e-02 0.000000000000000000e+00 3.106633339515373552e-07 2.527645352449379157e-01 1.925656053941275786e+03 5.510363122503059152e-02 0.000000000000000000e+00 4.209148859656143759e+04 4.790005311038830769e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.213858428613166325e+05 5.801124071207875659e+02 4.020154320689175442e+00 8.851491974504267564e+05
5.089455637614348493e-01 2.508774134399915576e-02 0.000000000000000000e+00 3.434062833377184341e-07 2.525485179713807260e-01 1.925804965550353472e+03 1.588388496941451067e-01 0.000000000000000000e+00 4.204246237853093771e+04 4.789296019544333376e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.212489974433749449e+05 5.799323309792165446e+02 4.021060640732811109e+00 8.845170981170436135e+05
