# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:mu_t 14:k_t 15:S 16:massf[0]-LUT 17:u 18:T 19:M_local 20:pitot_p
5.089425110522860507e-01 1.185348401756095103e-03 0.000000000000000000e+00 1.611582469980473464e-08 2.584351997756509367e-01 1.922788425453870332e+03 -3.754356531767238936e-02 0.000000000000000000e+00 4.339909414344937250e+04 4.809246966133674732e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.251090669253605884e+05 5.850098509049041695e+02 3.998107062000599399e+00 9.026341833697332768e+05
5.089425029055851812e-01 3.556045205265777331e-03 0.000000000000000000e+00 4.834761145596783674e-08 2.583936667083719940e-01 1.922813184964467837e+03 -6.138305775078196913e-02 0.000000000000000000e+00 4.338873343836722051e+04 4.809068032387956464e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.250743467377505731e+05 5.849641984088843856e+02 3.998307308182273090e+00 9.025094128797767917e+05
5.089424866121625701e-01 5.926742008768401404e-03 0.000000000000000000e+00 8.057981028180072454e-08 2.583054879452025832e-01 1.922860651672308904e+03 -8.413709792991516667e-02 0.000000000000000000e+00 4.336802690607785189e+04 4.808756134735209002e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.250138306726748124e+05 5.848846269212358493e+02 3.998665350533419094e+00 9.022407344525423832e+05
5.089424621720323172e-01 8.297438812258995169e-03 0.000000000000000000e+00 1.128126958904215593e-07 2.581784222633308201e-01 1.922921797376298628e+03 -1.103093151418895607e-01 0.000000000000000000e+00 4.333855007341309101e+04 4.808325384622377783e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.249302633073739707e+05 5.847747440343634935e+02 3.999150736948906104e+00 9.018471279419454513e+05
5.089424295851985303e-01 1.066813561573294947e-02 0.000000000000000000e+00 1.450465429949153390e-07 2.580334445164967905e-01 1.923007648381237232e+03 -1.262458011890546239e-01 0.000000000000000000e+00 4.330506999790764530e+04 4.807841384605412145e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.248363778195860796e+05 5.846512915340388190e+02 3.999731893574296038e+00 9.014128139246196952e+05
5.089423888516507732e-01 1.303883241918531340e-02 0.000000000000000000e+00 1.772816263084228862e-07 2.578536947380619671e-01 1.923109004816328024e+03 -1.525457263214573811e-01 0.000000000000000000e+00 4.326366074692111579e+04 4.807245803398965904e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.247208662826253567e+05 5.844993990406011335e+02 4.000438274878192146e+00 9.008696313792255241e+05
5.089423399713930429e-01 1.540952922261129392e-02 0.000000000000000000e+00 2.095182205440451736e-07 2.576646684389445330e-01 1.923202442102749501e+03 -1.716543645286323361e-01 0.000000000000000000e+00 4.322005127124738647e+04 4.806615141937688804e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.245985729951511603e+05 5.843385848434343188e+02 4.001157556766458789e+00 9.002862062364222948e+05
5.089422829444300023e-01 1.778022602600632177e-02 0.000000000000000000e+00 2.417566004148777603e-07 2.574774120437971492e-01 1.923337829497035045e+03 -1.630159214281588220e-01 0.000000000000000000e+00 4.317686274294899340e+04 4.805990042948530458e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.244773806493282318e+05 5.841792143065426899e+02 4.001959677855256636e+00 8.997472819432376418e+05
5.089422177707382255e-01 2.015092282936498114e-02 0.000000000000000000e+00 2.739970406340600134e-07 2.572951979700176528e-01 1.923444919826783007e+03 -1.329051856746739091e-01 0.000000000000000000e+00 4.313495271878666972e+04 4.805386945871176181e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.243604750159597024e+05 5.840254770542476308e+02 4.002684791223997784e+00 8.992002633766884683e+05
5.089421444503526848e-01 2.252161963268329778e-02 0.000000000000000000e+00 3.062398159146980537e-07 2.571395188009394928e-01 1.923560252350239352e+03 -8.634943534849212621e-02 0.000000000000000000e+00 4.309938564307278284e+04 4.804883672653028839e+02 6.622572146725930415e-05 1.138061500969248102e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.242629352728135418e+05 5.838972041171240335e+02 4.003344066863271600e+00 8.987547354643172584e+05
