# mohammadian-figure-9-p-p_inf.data
# Experimental data for concave (cubic) wedge.
# PJ, 11-Aug-2013
# x(inch)       p/p_inf
0.497588680749  2.76923076923
0.523455559984  2.15384615385
0.813611000399  2.15384615385
1.09858509366  2.15384615385
1.41980868872  1.84615384615
1.65815730039  1.94871794872
1.7255347416  2.25641025641
2.01050883486  2.25641025641
2.05197954032  2.5641025641
2.15563305434  2.97435897436
2.31111332536  3.58974358974
2.60650325495  4.41025641026
3.15089012887  9.74358974359
3.15093662814  10.4615384615
3.27550817059  13.8461538462
3.27039325096  14.8717948718
3.39463265577  13.1282051282
3.39467915504  13.8461538462
3.51414242062  18.358974359
3.51943005181  20
3.63856782251  19.4871794872
3.77366812807  25.4358974359
3.90328816261  26.7692307692
4.00721402949  31.3846153846
4.1474691112  36.9230769231
4.27719542979  39.8974358974
4.40719410124  47.0769230769
4.52162216022  53.8461538462
4.51654045436  55.3846153846
4.64100571277  57.1282051282
4.63587750764  57.9487179487
4.77621230238  64.7179487179
4.78664142421  65.7435897436
4.89029493822  66.1538461538
5.0250564634  66.8717948718
5.15453035738  65.9487179487
5.26341836057  67.1794871795
5.27374119835  66.5641025641
5.39256675967  61.2307692308
5.5219343696  58.6666666667
5.64639962801  60.4102564103
5.64099907001  57.0256410256
5.77044639299  55.6923076923
5.77014082636  50.9743589744
5.89463265577  53.1282051282
5.89971436163  51.5897435897
