# rho_inf= 0.302648  q_inf= 151324
# t,ms cp
0.100026 -0.59399
0.200576 -0.59399
0.300376 -0.59399
0.400175 0.174953
0.500725 0.29653
0.600524 0.282525
0.700324 0.286488
0.800123 0.293666
0.900673 0.301202
1.00047 0.308416
1.10027 0.315505
1.20007 0.322155
1.30062 0.328491
1.40042 0.334252
1.50022 0.339643
1.60002 0.344696
1.70057 0.349491
1.80037 0.353912
1.90017 0.358015
2.00072 0.361707
2.10052 0.364951
2.20032 0.367767
2.30012 0.370236
2.40067 0.372758
2.50046 0.37503
2.60026 0.376795
2.70006 0.378157
2.80061 0.379634
2.90041 0.381014
3.00021 0.382394
3.10001 0.383097
3.20056 0.383687
3.30036 0.384248
3.40016 0.384928
3.50071 0.385339
3.60051 0.385554
3.70031 0.385624
3.80011 0.386101
3.90066 0.386554
4.00046 0.386745
4.10026 0.386495
4.20006 0.386462
4.30061 0.386585
4.40041 0.386772
4.50021 0.386532
4.6 0.386346
4.70055 0.386473
4.80035 0.386911
4.90015 0.386989
5.0007 0.386716
