# Data extracted using http://digitizer.sourceforge.net/
# GO: DFVLR Goettingen, West Germany wind tunnel
# x/C, surface Mach
# suction surface
0.00860998 0.39728
0.029737 0.462458
0.0601294 0.512245
0.101894 0.577344
0.154872 0.636642
0.219077 0.692057
0.286834 0.720588
0.356509 0.754869
0.422793 0.837149
0.485065 0.884894
0.550873 0.903835
0.655849 0.891916
0.702723 0.887897
0.747721 0.883886
0.783296 0.874152
0.824527 0.868236
0.863825 0.854649
0.905013 0.842975
0.948207 0.848567
0.985902 0.871455
1.00227 0.802295
# pressure surface
0.00793299 0.307071
0.0245941 0.0210188
0.0655021 0.228155
0.101091 0.220341
0.138527 0.208681
0.172282 0.206632
0.213471 0.194958
0.260359 0.192859
0.309124 0.190752
0.36177 0.205905
0.41257 0.224904
0.459631 0.245836
0.508569 0.266762
0.561287 0.291511
0.612158 0.320107
0.659378 0.362152
0.706569 0.400359
0.757541 0.442389
0.795496 0.499825
0.846497 0.545695
0.888189 0.601197
0.920486 0.654816
0.958945 0.779428
1.00407 0.792691
