# Data extracted using http://digitizer.sourceforge.net/
# OX: Oxford University, UK wind tunnel
# x/C, surface Mach
# suction surface
0.000990274 0.381954
0.00878283 0.420312
0.0165466 0.454831
0.0261288 0.481666
0.0394489 0.506566
0.0583829 0.529526
0.0792507 0.560156
0.101966 0.586941
0.136067 0.630956
0.175711 0.663433
0.21925 0.715089
0.262487 0.72644
0.313315 0.749277
0.356797 0.793256
0.402184 0.841066
0.442029 0.900414
0.487272 0.929032
0.528734 0.953824
0.569994 0.951747
0.613159 0.9535
0.654492 0.961019
0.693905 0.962787
0.731369 0.954966
0.770768 0.954815
0.8064 0.952759
0.845697 0.939172
0.879395 0.929446
0.91686 0.921624
0.952276 0.890778
1.0027 0.859874
# pressure surface
-0.00154843 0.293672
0.00203096 0.270626
0.0206761 -0.000793708e-05
0.0518219 0.155271
0.0803814 0.210824
0.104685 0.199214
0.130893 0.191436
0.162801 0.193233
0.203903 0.170043
0.243244 0.162214
0.282729 0.173579
0.363517 0.188624
0.444392 0.215185
0.525353 0.253262
0.602677 0.306708
0.683912 0.381252
0.757642 0.455825
0.833263 0.53231
0.905362 0.639519
1.00422 0.811884
