# Data extracted using http://digitizer.sourceforge.net/
# RG: VKI Rhode-St.-Genese, Belgium wind tunnel
# x/C, surface Mach
# suction surface
0.00884044 0.427989
0.0303132 0.539231
0.105891 0.609958
0.204169 0.70555
0.303906 0.745474
0.405922 0.839133
0.4872 0.919435
0.566199 0.946003
0.616796 0.938131
0.678435 0.901426
0.72349 0.905092
0.781549 0.891434
0.83789 0.898895
0.88286 0.891045
0.935449 0.89852
0.987908 0.888722
1.00237 0.81573
# pressure surface
0.000788618 0.355083
0.00576879 0.268692
0.0206761 -0.000793708e-05
0.0730066 0.228127
0.129305 0.22983
0.204335 0.227623
0.28127 0.229247
0.376952 0.228879
0.470917 0.249632
0.559483 0.301115
0.649897 0.348753
0.738751 0.438623
0.810735 0.530477
0.863785 0.599371
0.920847 0.702799
