# M      Y          U          V          RHO
   1   0.000000   0.000000   0.000000   1.000000
   3   0.000400   0.112844   0.000010   0.844312
   5   0.000800   0.211321   0.000038   0.733711
   7   0.001200   0.300448   0.000079   0.675076
   9   0.001600   0.383453   0.000132   0.642180
  11   0.002000   0.461640   0.000199   0.625291
  13   0.002400   0.535500   0.000279   0.619942
  15   0.002800   0.605088   0.000374   0.623859
  17   0.003200   0.670174   0.000483   0.635812
  19   0.003600   0.730340   0.000606   0.655065
  21   0.004000   0.785046   0.000740   0.681041
  23   0.004400   0.833703   0.000882   0.713034
  25   0.004800   0.875768   0.001028   0.749969
  27   0.005200   0.910857   0.001172   0.790191
  29   0.005600   0.938880   0.001308   0.831427
  31   0.006000   0.960136   0.001429   0.870995
  33   0.006400   0.975348   0.001532   0.906321
  35   0.006800   0.985570   0.001614   0.935549
  37   0.007200   0.992005   0.001675   0.957960
  39   0.007600   0.995802   0.001719   0.973940
  41   0.008000   0.997907   0.001748   0.984596
  43   0.008400   0.999007   0.001767   0.991289
  45   0.008800   0.999551   0.001778   0.995272
  47   0.009200   0.999806   0.001785   0.997532
  49   0.009600   0.999920   0.001789   0.998758
  51   0.010000   0.999968   0.001791   0.999397
  53   0.010400   0.999988   0.001792   0.999717
  55   0.010800   0.999995   0.001792   0.999872
  57   0.011200   0.999998   0.001792   0.999944
  59   0.011600   0.999999   0.001792   0.999976
  61   0.012000   0.999999   0.001792   0.999991
  63   0.012400   1.000000   0.001793   0.999997
  65   0.012800   1.000000   0.001793   0.999999
  67   0.013200   0.999999   0.001793   1.000000
  69   0.013600   0.999999   0.001793   1.000001
  71   0.014000   0.999999   0.001793   1.000001
  73   0.014400   0.999999   0.001793   1.000002
  75   0.014800   0.999999   0.001793   1.000002
  77   0.015200   0.999999   0.001793   1.000002
  79   0.015600   0.999999   0.001793   1.000002
  81   0.016000   0.999998   0.001793   1.000002
  83   0.016400   0.999998   0.001793   1.000002
  85   0.016800   0.999998   0.001793   1.000002
  87   0.017200   0.999998   0.001793   1.000003
  89   0.017600   0.999998   0.001793   1.000003
  91   0.018000   0.999998   0.001793   1.000002
  93   0.018400   0.999998   0.001792   1.000002
  95   0.018800   0.999998   0.001792   1.000003
  97   0.019200   0.999998   0.000000   1.000003
  99   0.019600   0.999998  -0.000000   1.000003
 101   0.020000   0.999998  -0.000000   1.000002
 103   0.020400   0.999998  -0.000000   1.000002
 105   0.020800   0.999998  -0.000000   1.000003
 107   0.021200   0.999998  -0.000000   1.000003
 109   0.021600   0.999998  -0.000000   1.000003
 111   0.022000   0.999998  -0.000000   1.000003
 113   0.022400   0.999998  -0.000000   1.000003
 115   0.022800   0.999998  -0.000000   1.000003
 117   0.023200   0.999998  -0.000000   1.000003
 119   0.023600   0.999997  -0.000000   1.000003
 121   0.024000   0.999997  -0.000000   1.000003
 123   0.024400   0.999997  -0.000000   1.000003
 125   0.024800   0.999997  -0.000000   1.000003
 127   0.025200   0.999997  -0.000000   1.000004
 129   0.025600   0.999997  -0.000000   1.000004
 131   0.026000   0.999997  -0.000000   1.000004
 133   0.026400   0.999997  -0.000000   1.000004
 135   0.026800   0.999997  -0.000000   1.000004
 137   0.027200   0.999997  -0.000000   1.000004
 139   0.027600   0.999997  -0.000000   1.000004
 141   0.028000   0.999997  -0.000000   1.000004
 143   0.028400   0.999997  -0.000000   1.000004
 145   0.028800   0.999997  -0.000000   1.000004
 147   0.029200   0.999997  -0.000000   1.000004
 149   0.029600   0.999997  -0.000000   1.000003
 151   0.030000   0.999997  -0.000000   1.000003
 153   0.030400   0.999997  -0.000000   1.000003
 155   0.030800   0.999997  -0.000000   1.000004
 157   0.031200   0.999997  -0.000000   1.000003
 159   0.031600   0.999997  -0.000000   1.000003
 161   0.032000   0.999997  -0.000000   1.000003
 163   0.032400   0.999997  -0.000000   1.000003
 165   0.032800   0.999997  -0.000000   1.000004
 167   0.033200   0.999997  -0.000000   1.000004
 169   0.033600   0.999997  -0.000000   1.000004
 171   0.034000   0.999997  -0.000000   1.000003
 173   0.034400   0.999997  -0.000000   1.000004
 175   0.034800   0.999997  -0.000000   1.000004
 177   0.035200   0.999997  -0.000000   1.000004
 179   0.035600   0.999997  -0.000000   1.000004
 181   0.036000   0.999997  -0.000000   1.000004
 183   0.036400   0.999997  -0.000000   1.000004
 185   0.036800   0.999996  -0.000000   1.000004
 187   0.037200   0.999996  -0.000000   1.000004
 189   0.037600   0.999996  -0.000000   1.000004
 191   0.038000   0.999997  -0.000000   1.000004
 193   0.038400   0.999997  -0.000000   1.000004
 195   0.038800   0.999997  -0.000000   1.000003
 197   0.039200   0.999998  -0.000000   1.000003
 199   0.039600   0.999999  -0.000000   1.000001
