# 1:x(m)  2:rho(kg/m**3) 3:p(Pa) 4:T(K) 5:V(m/s)
0 0.999732 100000 348.4 0
0.275471 0.999732 100000 348.4 0
0.276813 0.99475 99303 347.704 1.86298
0.278163 0.989758 98606.1 347.005 3.73717
0.279521 0.984756 97909.1 346.303 5.6227
0.280887 0.979744 97212.1 345.597 7.51973
0.282262 0.974721 96515.1 344.887 9.42842
0.283646 0.969688 95818.2 344.174 11.3489
0.285038 0.964645 95121.2 343.456 13.2814
0.286439 0.959591 94424.2 342.736 15.226
0.287849 0.954526 93727.3 342.011 17.1829
0.289267 0.949451 93030.3 341.282 19.1522
0.290695 0.944365 92333.3 340.55 21.1342
0.292132 0.939268 91636.3 339.813 23.129
0.293578 0.934159 90939.4 339.073 25.1368
0.295034 0.92904 90242.4 338.328 27.1578
0.2965 0.923909 89545.4 337.58 29.1922
0.297975 0.918766 88848.5 336.827 31.2401
0.299461 0.913613 88151.5 336.07 33.3018
0.300956 0.908447 87454.5 335.308 35.3774
0.302461 0.90327 86757.5 334.543 37.4673
0.303977 0.898081 86060.6 333.773 39.5715
0.305504 0.89288 85363.6 332.998 41.6903
0.307041 0.887666 84666.6 332.219 43.8239
0.308589 0.882441 83969.7 331.435 45.9726
0.310148 0.877203 83272.7 330.647 48.1365
0.311718 0.871952 82575.7 329.854 50.316
0.313299 0.866689 81878.8 329.056 52.5112
0.314892 0.861413 81181.8 328.253 54.7224
0.316497 0.856124 80484.8 327.446 56.9499
0.318114 0.850822 79787.8 326.633 59.1939
0.319743 0.845506 79090.9 325.815 61.4547
0.321384 0.840178 78393.9 324.992 63.7326
0.323037 0.834835 77696.9 324.164 66.0278
0.324704 0.829479 77000 323.331 68.3407
0.326383 0.824109 76303 322.492 70.6715
0.328075 0.818725 75606 321.647 73.0205
0.329781 0.813327 74909 320.797 75.3881
0.331501 0.807915 74212.1 319.942 77.7745
0.333234 0.802488 73515.1 319.08 80.1802
0.334981 0.797046 72818.1 318.213 82.6053
0.336743 0.791589 72121.2 317.34 85.0504
0.338519 0.786118 71424.2 316.461 87.5157
0.34031 0.780631 70727.2 315.575 90.0016
0.342116 0.775128 70030.2 314.684 92.5085
0.343938 0.76961 69333.3 313.786 95.0367
0.345775 0.764076 68636.3 312.881 97.5868
0.347629 0.758526 67939.3 311.97 100.159
0.349498 0.752959 67242.4 311.052 102.754
0.351385 0.747376 66545.4 310.128 105.372
0.353288 0.741777 65848.4 309.196 108.013
0.355208 0.73616 65151.4 308.257 110.678
0.357146 0.730526 64454.5 307.312 113.368
0.359102 0.724875 63757.5 306.359 116.083
0.361077 0.719206 63060.5 305.398 118.823
0.36307 0.713519 62363.6 304.43 121.588
0.365082 0.707814 61666.6 303.454 124.381
0.367114 0.702091 60969.6 302.47 127.2
0.369165 0.696349 60272.6 301.478 130.047
0.371237 0.690588 59575.7 300.478 132.923
0.37333 0.684807 58878.7 299.469 135.827
0.375444 0.679007 58181.7 298.452 138.76
0.377579 0.673187 57484.8 297.426 141.724
0.379737 0.667347 56787.8 296.391 144.718
0.381918 0.661486 56090.8 295.347 147.744
0.384122 0.655605 55393.8 294.294 150.802
0.386349 0.649702 54696.9 293.231 153.893
0.388601 0.643778 53999.9 292.159 157.018
0.390878 0.637832 53302.9 291.076 160.177
0.39318 0.631863 52606 289.984 163.372
0.395508 0.625872 51909 288.881 166.603
0.397864 0.619858 51212 287.767 169.871
0.400246 0.613821 50515.1 286.643 173.177
0.402657 0.607759 49818.1 285.507 176.522
0.405097 0.601674 49121.1 284.36 179.907
0.407567 0.595563 48424.1 283.202 183.334
0.410067 0.589428 47727.2 282.031 186.802
0.412598 0.583267 47030.2 280.848 190.314
0.415161 0.577079 46333.2 279.653 193.871
0.417758 0.570865 45636.3 278.444 197.473
0.420389 0.564624 44939.3 277.222 201.123
0.423054 0.558355 44242.3 275.987 204.821
0.425755 0.552058 43545.3 274.738 208.568
0.428494 0.545732 42848.4 273.474 212.368
0.431271 0.539377 42151.4 272.196 216.22
0.434087 0.532991 41454.4 270.902 220.126
0.436944 0.526575 40757.5 269.593 224.089
0.439842 0.520127 40060.5 268.268 228.11
0.442784 0.513647 39363.5 266.926 232.191
0.44577 0.507135 38666.5 265.567 236.333
0.448803 0.500588 37969.6 264.19 240.54
0.451883 0.494007 37272.6 262.796 244.812
0.455013 0.487391 36575.6 261.382 249.153
0.458194 0.480739 35878.7 259.949 253.565
0.461428 0.47405 35181.7 258.496 258.05
0.464717 0.467323 34484.7 257.023 262.611
0.468062 0.460557 33787.7 255.528 267.252
0.471467 0.453751 33090.8 254.01 271.974
0.474934 0.446903 32393.8 252.47 276.781
0.478464 0.440014 31696.8 250.906 281.676
0.482061 0.433081 30999.9 249.317 286.664
0.485727 0.426104 30302.9 247.703 291.748
0.486717 0.426104 30302.9 247.703 293.397
0.676038 0.426104 30302.9 247.703 293.397
0.675961 0.265372 30302.9 397.732 293.268
0.832488 0.265372 30302.9 397.732 293.268
0.832488 0.124931 10000 278.8 0
1 0.124931 10000 278.8 0
