# Nozzle contour, IMOC result of Kunze (2020).
# Digitised from J. Kunze, PhD thesis, The University of Queensland, 2020, Fig 3.3,
# which reproduces Rao, J. Jet Propulsion 28(6):377-382, 1958.
# JM, 2026-09-15, obtained using WebPlotDigitizer.
# x/r_A      r/r_A
    0.028728      0.997509
    0.179981      1.041352
    0.359963      1.139679
    0.540000      1.252663
    0.720000      1.363887
    0.900000      1.491721
    1.080000      1.585698
    1.260000      1.697150
    1.440084      1.808392
    1.620000      1.904899
    1.800000      2.003708
    1.980000      2.112699
    2.160000      2.211055
    2.340000      2.317417
    2.520000      2.394819
    2.700000      2.488353
    2.880000      2.574747
    3.060000      2.661042
    3.240000      2.744659
    3.420000      2.824507
    3.600000      2.916920
    3.780000      2.979505
    3.960000      3.036201
    4.140000      3.138148
    4.320000      3.199618
    4.500000      3.269081
    4.680000      3.338580
    4.860000      3.399821
    5.040000      3.468054
    5.219991      3.533528
    5.400000      3.593165
    5.580000      3.647945
    5.760000      3.707823
    5.940000      3.763222
    6.120028      3.830179
    6.299972      3.885080
    6.480019      3.931839
    6.659981      3.993545
    6.839981      4.045529
    7.020000      4.084953
    7.199981      4.137171
    7.380000      4.183688
    7.560000      4.233758
    7.740000      4.274646
    7.919991      4.322089
    8.206414      4.386860
