# Wall Mach number, IMOC result of Kunze (2020).
# Digitised from J. Kunze, PhD thesis, The University of Queensland, 2020, Fig 3.3,
# which reproduces Rao, J. Jet Propulsion 28(6):377-382, 1958.
# JM, 2026-09-15, obtained using WebPlotDigitizer.
# x/r_A      M
    0.008596      1.157667
    0.068160      1.394521
    0.128101      1.616115
    0.238093      2.094421
    0.384601      2.209212
    0.573427      2.292183
    0.782240      2.365737
    0.997301      2.438510
    1.208472      2.495909
    1.414087      2.558516
    1.623185      2.605822
    1.831727      2.656841
    2.050251      2.695190
    2.253437      2.744385
    2.468832      2.790862
    2.690185      2.832806
    2.899311      2.875602
    3.085546      2.909068
    3.297688      2.943653
    3.510868      2.978403
    3.729191      3.013018
    3.951254      3.048745
    4.145976      3.071044
    4.341623      3.099383
    4.569430      3.133253
    4.779490      3.164677
    5.003998      3.193739
    5.193086      3.217575
    5.409669      3.234215
    5.619729      3.265954
    5.840992      3.281771
    6.031586      3.299975
    6.234905      3.325816
    6.459969      3.348167
    6.674575      3.372688
    6.881627      3.392644
    7.090148      3.407039
    7.301078      3.429399
    7.510625      3.437364
    7.709325      3.455928
    7.930388      3.481762
    8.140447      3.498456
    8.250479      3.510309
