# Wall angle, IMOC result of Kunze (2020).
# Digitised from J. Kunze, PhD thesis, The University of Queensland, 2020, Fig 3.3,
# which reproduces Rao, J. Jet Propulsion 28(6):377-382, 1958.
# JM, 2026-09-15, obtained using WebPlotDigitizer.
# x/r_A      theta(deg)
    0.024568      3.749756
    0.090082     12.141963
    0.163785     23.212661
    0.245678     33.836848
    0.319381     32.764689
    0.548681     32.226700
    0.843494     31.955918
    1.138308     31.417279
    1.637853     29.894466
    2.104641     28.461263
    2.612375     26.670512
    2.874431     25.685770
    3.390355     24.162794
    3.701547     22.998993
    4.201092     21.654751
    4.725205     20.399552
    5.257507     19.054985
    5.748863     17.978682
    6.272975     16.812768
    6.829845     15.646529
    7.353958     14.659187
    7.935396     13.760562
    8.181074     13.311696
