# Nozzle contour, data points of Rao (1958), nozzle A.
# Digitised from J. Kunze, PhD thesis, The University of Queensland, 2020, Fig 3.3,
# which reproduces Rao, J. Jet Propulsion 28(6):377-382, 1958.
# JM, 2026-09-15, obtained using WebPlotDigitizer.
# x/r_A      r/r_A
    0.243924      1.070615
    0.333913      1.127563
    0.939303      1.503417
    1.029273      1.571754
    1.176549      1.651481
    1.471064      1.833713
    1.880154      2.061503
    2.313812      2.289294
    3.369369      2.813212
    4.204114      3.154897
    6.495820      3.940774
    7.985613      4.339408
    8.190270      4.384966
