# Wall Mach number, data points of Rao (1958), nozzle A.
# Digitised from J. Kunze, PhD thesis, The University of Queensland, 2020, Fig 3.3,
# which reproduces Rao, J. Jet Propulsion 28(6):377-382, 1958.
# JM, 2026-09-15, obtained using WebPlotDigitizer.
# x/r_A      M
    0.245455      2.092185
    0.335455      2.181598
    0.940909      2.412048
    1.030909      2.437686
    1.170000      2.476148
    1.480909      2.553119
    1.881818      2.668483
    2.315455      2.758384
    3.370909      2.951206
    4.205455      3.079940
    5.432727      3.234740
    6.504545      3.351055
    7.981364      3.480699
    8.190000      3.506505
