pos.x pos.y pos.z n.x n.y n.z area cellWidthNormalToSurface outsign p rho T vel.x vel.y vel.z mu a Re y+ tau_wall.x tau_wall.y tau_wall.z q_total q_cond q_diff
-4.9840680848170002e-05 6.5996236007357847e-03 0.0000000000000000e+00 7.5518336546675485e-03 -9.9997148449765916e-01 0.0000000000000000e+00 6.5787822693276558e-07 1.0000285163208538e-06 1 4.9899494417552347e+02 5.8717334431188139e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4844373663419935e+02 1.1193442788234381e-01 2.5677100251389043e-02 1.5003632280503703e+02 2.4904615162662580e+00 0.0000000000000000e+00 -3.1726922411309270e+05 -3.1726922411309270e+05 0.0000000000000000e+00
-6.4825371191204548e-03 1.2386396829263150e-03 0.0000000000000000e+00 9.8223060260474682e-01 -1.8767803096451113e-01 0.0000000000000000e+00 1.2347281018633071e-07 1.0000285163117315e-06 1 4.1211517709564660e+03 4.8494087886352524e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.6490274827074506e+02 9.6812318096206929e-01 5.7723093429801364e-02 1.6813833443425359e+01 9.0268222279451649e+01 0.0000000000000000e+00 -1.6434819550792871e+06 -1.6434819550792871e+06 0.0000000000000000e+00
-1.4951067285093501e-04 6.5981180895433953e-03 0.0000000000000000e+00 2.2653778233972237e-02 -9.9974337023644522e-01 0.0000000000000000e+00 6.5772815125717997e-07 1.0000285163160255e-06 1 5.1577629231865387e+02 6.0692015823510586e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4856235177019795e+02 1.1573820142903328e-01 2.6635533425728046e-02 1.5617776473354922e+02 3.3959485373035747e+00 0.0000000000000000e+00 -3.2755808619238797e+05 -3.2755808619238797e+05 0.0000000000000000e+00
-2.4914655836240498e-04 6.5951074105970852e-03 0.0000000000000000e+00 3.7750555015802989e-02 -9.9928719375162545e-01 0.0000000000000000e+00 6.5742803408551475e-07 1.0000285163157007e-06 1 5.3335761822810991e+02 6.2760831560461456e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4866483548045125e+02 1.1971857194249230e-01 2.7334652829610746e-02 1.5898315461068819e+02 6.0856057074275896e+00 0.0000000000000000e+00 -3.3649496019729332e+05 -3.3649496019729332e+05 0.0000000000000000e+00
-3.4872560836832000e-04 6.5905922506952650e-03 0.0000000000000000e+00 5.2838720111761162e-02 -9.9860305910654545e-01 0.0000000000000000e+00 6.5697794397700301e-07 1.0000285163084848e-06 1 5.5191144740423010e+02 6.4944082924888449e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4877316953851988e+02 1.2392169532772111e-01 2.8083269685547849e-02 1.6207529684886185e+02 8.3058908435434411e+00 0.0000000000000000e+00 -3.4592347676608083e+05 -3.4592347676608083e+05 0.0000000000000000e+00
-4.4822510682242006e-04 6.5845736398395856e-03 0.0000000000000000e+00 6.7914831598698433e-02 -9.9769112236649693e-01 0.0000000000000000e+00 6.5637798354513139e-07 1.0000285163132013e-06 1 5.7136868556245224e+02 6.7233639509336994e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4888580626238161e+02 1.2833189646567877e-01 2.8861694070109769e-02 1.6520912164679774e+02 1.0960198851307030e+01 0.0000000000000000e+00 -3.5570999883087352e+05 -3.5570999883087352e+05 0.0000000000000000e+00
-5.4762235580433998e-04 6.5770529510017850e-03 0.0000000000000000e+00 8.2975450299456702e-02 -9.9655159156342854e-01 0.0000000000000000e+00 6.5562828943141637e-07 1.0000285163174068e-06 1 5.9199000204197762e+02 6.9660174588044629e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4900508982910219e+02 1.3300899404846059e-01 2.9665337848558872e-02 1.6829806863809239e+02 1.3366999842416208e+01 0.0000000000000000e+00 -3.6605930001553334e+05 -3.6605930001553334e+05 0.0000000000000000e+00
-6.4689468074036497e-04 6.5680318998073955e-03 0.0000000000000000e+00 9.8017140574641171e-02 -9.9518472664805857e-01 0.0000000000000000e+00 6.5472903316130930e-07 1.0000285163080534e-06 1 6.1344016924965536e+02 7.2184241527478554e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4912725341723706e+02 1.3787668688610544e-01 3.0468762928147951e-02 1.7112566186391194e+02 1.5968809754756784e+01 0.0000000000000000e+00 -3.7664404834362940e+05 -3.7664404834362940e+05 0.0000000000000000e+00
-7.4601943558178494e-04 6.5575125441428399e-03 0.0000000000000000e+00 1.1303647110724005e-01 -9.9359083943020643e-01 0.0000000000000000e+00 6.5368041972868847e-07 1.0000285163153004e-06 1 6.3548483579250683e+02 7.4778263917744140e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4925174116167591e+02 1.4288237080528249e-01 3.1283323251852367e-02 1.7388530764623371e+02 1.8779472402845435e+01 0.0000000000000000e+00 -3.8741081335117033e+05 -3.8741081335117033e+05 0.0000000000000000e+00
-8.4497400791303000e-04 6.5454972836911001e-03 0.0000000000000000e+00 1.2803001567552413e-01 -9.9177029350859514e-01 0.0000000000000000e+00 6.5248268808447871e-07 1.0000285163220649e-06 1 6.5827877656058786e+02 7.7460454306056614e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4937958251566931e+02 1.4806153616752976e-01 3.2112691342152229e-02 1.7659833767869148e+02 2.1575988430704701e+01 0.0000000000000000e+00 -3.9844861796613503e+05 -3.9844861796613503e+05 0.0000000000000000e+00
