pos.x pos.y pos.z n.x n.y n.z area cellWidthNormalToSurface outsign p rho T vel.x vel.y vel.z mu a Re y+ tau_wall.x tau_wall.y tau_wall.z q_total q_cond q_diff
-4.9840680848170002e-05 6.5996236007357847e-03 0.0000000000000000e+00 7.5518336546675485e-03 -9.9997148449765916e-01 0.0000000000000000e+00 6.5787822693276558e-07 1.0000285163208538e-06 1 4.9899460594341042e+02 5.8717294631009135e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4844373487248453e+02 1.1193435144426145e-01 2.5677073393392744e-02 1.5003612037938109e+02 2.4898706174980543e+00 0.0000000000000000e+00 -3.1726907336304639e+05 -3.1726907336304639e+05 0.0000000000000000e+00
-6.4825371191204548e-03 1.2386396829263150e-03 0.0000000000000000e+00 9.8223060260474682e-01 -1.8767803096451113e-01 0.0000000000000000e+00 1.2347281018633071e-07 1.0000285163117315e-06 1 4.1211502941111694e+03 4.8494070508136533e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.6490273293589422e+02 9.6812279334308293e-01 5.7723060755748089e-02 1.6813908259597927e+01 9.0268136076493590e+01 0.0000000000000000e+00 -1.6434807950593894e+06 -1.6434807950593894e+06 0.0000000000000000e+00
-1.4951067285093501e-04 6.5981180895433953e-03 0.0000000000000000e+00 2.2653778233972237e-02 -9.9974337023644522e-01 0.0000000000000000e+00 6.5772815125717997e-07 1.0000285163160255e-06 1 5.1577621503413911e+02 6.0692006729348904e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4856235514528458e+02 1.1573818520736631e-01 2.6635534724057466e-02 1.5617780535879109e+02 3.3958574964632957e+00 0.0000000000000000e+00 -3.2755838198811142e+05 -3.2755838198811142e+05 0.0000000000000000e+00
-2.4914655836240498e-04 6.5951074105970852e-03 0.0000000000000000e+00 3.7750555015802989e-02 -9.9928719375162545e-01 0.0000000000000000e+00 6.5742803408551475e-07 1.0000285163157007e-06 1 5.3335753417211822e+02 6.2760821669491955e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4866483951431343e+02 1.1971855446018621e-01 2.7334659960791707e-02 1.5898326123098411e+02 6.0856460903358132e+00 0.0000000000000000e+00 -3.3649531162031746e+05 -3.3649531162031746e+05 0.0000000000000000e+00
-3.4872560836832000e-04 6.5905922506952650e-03 0.0000000000000000e+00 5.2838720111761162e-02 -9.9860305910654545e-01 0.0000000000000000e+00 6.5697794397700301e-07 1.0000285163084848e-06 1 5.5191152514354417e+02 6.4944092072566914e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4877317327317763e+02 1.2392171410962449e-01 2.8083280169312181e-02 1.6207538781141082e+02 8.3060367020027162e+00 0.0000000000000000e+00 -3.4592380235705938e+05 -3.4592380235705938e+05 0.0000000000000000e+00
-4.4822510682242006e-04 6.5845736398395856e-03 0.0000000000000000e+00 6.7914831598698433e-02 -9.9769112236649693e-01 0.0000000000000000e+00 6.5637798354513139e-07 1.0000285163132013e-06 1 5.7136890881840111e+02 6.7233665780132654e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4888580984034479e+02 1.2833194792603306e-01 2.8861705002986685e-02 1.6520916887045223e+02 1.0960404643742695e+01 0.0000000000000000e+00 -3.5571031169429648e+05 -3.5571031169429648e+05 0.0000000000000000e+00
-5.4762235580433998e-04 6.5770529510017850e-03 0.0000000000000000e+00 8.2975450299456702e-02 -9.9655159156342854e-01 0.0000000000000000e+00 6.5562828943141637e-07 1.0000285163174068e-06 1 5.9199000494451536e+02 6.9660174929589728e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4900509383569823e+02 1.3300899622755610e-01 2.9665342990678384e-02 1.6829812045756717e+02 1.3367076178670338e+01 0.0000000000000000e+00 -3.6605964853431925e+05 -3.6605964853431925e+05 0.0000000000000000e+00
-6.4689468074036497e-04 6.5680318998073955e-03 0.0000000000000000e+00 9.8017140574641171e-02 -9.9518472664805857e-01 0.0000000000000000e+00 6.5472903316130930e-07 1.0000285163080534e-06 1 6.1343993771043495e+02 7.2184214281980387e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4912725770915705e+02 1.3787663654035412e-01 3.0468766323223644e-02 1.7112576756229868e+02 1.5968787496310668e+01 0.0000000000000000e+00 -3.7664441881949588e+05 -3.7664441881949588e+05 0.0000000000000000e+00
-7.4601943558178494e-04 6.5575125441428399e-03 0.0000000000000000e+00 1.1303647110724005e-01 -9.9359083943020643e-01 0.0000000000000000e+00 6.5368041972868847e-07 1.0000285163153004e-06 1 6.3548486183318130e+02 7.4778266981981589e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4925174496431583e+02 1.4288237821596411e-01 3.1283328851524780e-02 1.7388536482309161e+02 1.8779459358030444e+01 0.0000000000000000e+00 -3.8741114423263166e+05 -3.8741114423263166e+05 0.0000000000000000e+00
-8.4497400791303000e-04 6.5454972836911001e-03 0.0000000000000000e+00 1.2803001567552413e-01 -9.9177029350859514e-01 0.0000000000000000e+00 6.5248268808447871e-07 1.0000285163220649e-06 1 6.5827815642818473e+02 7.7460381334331892e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4937958733469941e+02 1.4806139872818802e-01 3.2112684686934546e-02 1.7659847073963854e+02 2.1575673275219923e+01 0.0000000000000000e+00 -3.9844903140143096e+05 -3.9844903140143096e+05 0.0000000000000000e+00
