pos.x pos.y pos.z n.x n.y n.z area cellWidthNormalToSurface outsign p rho T vel.x vel.y vel.z mu a Re y+ tau_wall.x tau_wall.y tau_wall.z q_total q_cond q_diff
-4.9840680848169995e-05 6.5996236007357855e-03 0.0000000000000000e+00 7.5518336546762507e-03 -9.9997148449765916e-01 0.0000000000000000e+00 6.5787822693276558e-07 1.0000285163208540e-06 1 4.9899474016899836e+02 5.8717310425495288e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4844373426263417e+02 1.1193438135780460e-01 2.5677084952831684e-02 1.5003620958759342e+02 2.4902048764442872e+00 0.0000000000000000e+00 -3.1726901842429308e+05 -3.1726901842429308e+05 0.0000000000000000e+00
-6.4825371191204548e-03 1.2386396829263150e-03 0.0000000000000000e+00 9.8223060260474693e-01 -1.8767803096451072e-01 0.0000000000000000e+00 1.2347281018633098e-07 1.0000285163117315e-06 1 4.1211519010094135e+03 4.8494089416701178e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.6490274611608891e+02 9.6812320579702926e-01 5.7723089690852041e-02 1.6813800259803312e+01 9.0268213413167629e+01 0.0000000000000000e+00 -1.6434817976078470e+06 -1.6434817976078470e+06 0.0000000000000000e+00
-1.4951067285093501e-04 6.5981180895433953e-03 0.0000000000000000e+00 2.2653778233972237e-02 -9.9974337023644522e-01 0.0000000000000000e+00 6.5772815125718008e-07 1.0000285163160261e-06 1 5.1577622778967009e+02 6.0692008230307558e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4856235141392489e+02 1.1573818683068099e-01 2.6635532905498631e-02 1.5617777877106298e+02 3.3959212913646626e+00 0.0000000000000000e+00 -3.2755805473672424e+05 -3.2755805473672424e+05 0.0000000000000000e+00
-2.4914655836240503e-04 6.5951074105970852e-03 0.0000000000000000e+00 3.7750555015802975e-02 -9.9928719375162556e-01 0.0000000000000000e+00 6.5742803408551496e-07 1.0000285163165646e-06 1 5.3335763801762403e+02 6.2760833889117353e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4866483527403255e+02 1.1971857631371514e-01 2.7334652868165606e-02 1.5898314777504785e+02 6.0856416809031506e+00 0.0000000000000000e+00 -3.3649494101983221e+05 -3.3649494101983221e+05 0.0000000000000000e+00
-3.4872560836832006e-04 6.5905922506952650e-03 0.0000000000000000e+00 5.2838720111761203e-02 -9.9860305910654568e-01 0.0000000000000000e+00 6.5697794397700258e-07 1.0000285163093475e-06 1 5.5191143602118643e+02 6.4944081585432030e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4877316938654508e+02 1.2392169271797444e-01 2.8083269019596589e-02 1.6207529075905356e+02 8.3059246825498469e+00 0.0000000000000000e+00 -3.4592346120531799e+05 -3.4592346120531799e+05 0.0000000000000000e+00
-4.4822510682241995e-04 6.5845736398395856e-03 0.0000000000000000e+00 6.7914831598698516e-02 -9.9769112236649704e-01 0.0000000000000000e+00 6.5637798354513055e-07 1.0000285163132095e-06 1 5.7136867436650971e+02 6.7233638191896991e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4888580591795102e+02 1.2833189382432925e-01 2.8861693608714972e-02 1.6520911533692180e+02 1.0960263003209517e+01 0.0000000000000000e+00 -3.5570996877169685e+05 -3.5570996877169685e+05 0.0000000000000000e+00
-5.4762235580433998e-04 6.5770529510017859e-03 0.0000000000000000e+00 8.2975450299447973e-02 -9.9655159156342921e-01 0.0000000000000000e+00 6.5562828943141679e-07 1.0000285163156892e-06 1 5.9199017562133974e+02 6.9660195013336659e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4900508905712763e+02 1.3300903275403617e-01 2.9665339993949300e-02 1.6829803008499746e+02 1.3367168444920566e+01 0.0000000000000000e+00 -3.6605923585718288e+05 -3.6605923585718288e+05 0.0000000000000000e+00
-6.4689468074036497e-04 6.5680318998073955e-03 0.0000000000000000e+00 9.8017140574649789e-02 -9.9518472664805768e-01 0.0000000000000000e+00 6.5472903316130983e-07 1.0000285163080649e-06 1 6.1344040001531130e+02 7.2184268681950471e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4912725260094913e+02 1.3787673843058160e-01 3.0468763743516734e-02 1.7112559111143628e+02 1.5968971098368879e+01 0.0000000000000000e+00 -3.7664398067616997e+05 -3.7664398067616997e+05 0.0000000000000000e+00
-7.4601943558178505e-04 6.5575125441428399e-03 0.0000000000000000e+00 1.1303647110723992e-01 -9.9359083943020643e-01 0.0000000000000000e+00 6.5368041972868921e-07 1.0000285163152873e-06 1 6.3548476249333930e+02 7.4778255292543058e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4925174077386373e+02 1.4288235416604256e-01 3.1283320074383114e-02 1.7388528622666507e+02 1.8779527725127416e+01 0.0000000000000000e+00 -3.8741077802831295e+05 -3.8741077802831295e+05 0.0000000000000000e+00
-8.4497400791303011e-04 6.5454972836911009e-03 0.0000000000000000e+00 1.2803001567551572e-01 -9.9177029350859636e-01 0.0000000000000000e+00 6.5248268808447734e-07 1.0000285163220502e-06 1 6.5827898701888444e+02 7.7460479070937159e-03 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 3.4937958138301252e+02 1.4806158302427666e-01 3.2112693653562820e-02 1.7659828162918816e+02 2.1576189357069726e+01 0.0000000000000000e+00 -3.9844852145039360e+05 -3.9844852145039360e+05 0.0000000000000000e+00
