pos.x pos.y pos.z n.x n.y n.z area cellWidthNormalToSurface outsign p rho T vel.x vel.y vel.z mu a Re y+ tau_wall.x tau_wall.y tau_wall.z q_total q_cond q_diff
-6.5983045134622702e-03 1.0577020598646207e-04 0.0000000000000000e+00 9.9987154579993121e-01 -1.6027847630174834e-02 0.0000000000000000e+00 2.2377547438792986e-08 3.0346017109489892e-06 1 4.2649392761284244e+03 5.0186052730236450e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1455667122961597e+02 3.4539890041140815e+00 5.1627945736077444e-02 8.6013561588476328e-01 7.6598035581336719e+00 0.0000000000000000e+00 -1.6788396204426435e+06 -1.6788396204426435e+06 0.0000000000000000e+00
-6.5915243095383790e-03 3.1720193192281466e-04 0.0000000000000000e+00 9.9884411019668073e-01 -4.8067073193623078e-02 0.0000000000000000e+00 6.7109647873694156e-08 3.0414866326319550e-06 1 4.2571314032172759e+03 5.0094176551876042e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1490522591598909e+02 3.4583931669641879e+00 9.0596391925687358e-02 2.3083080045495894e+00 2.3558265191193762e+01 0.0000000000000000e+00 -1.6809972047544857e+06 -1.6809972047544857e+06 0.0000000000000000e+00
-6.5779708688084634e-03 5.2830771143170239e-04 0.0000000000000000e+00 9.9679029474971570e-01 -8.0056906590092292e-02 0.0000000000000000e+00 1.1177278860888530e-07 3.0552638670417402e-06 1 4.2410057875931125e+03 4.9904424495955460e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1516833723495330e+02 3.4630942043153965e+00 1.1697790795377644e-01 4.5857425846632083e+00 3.8989104243375643e+01 0.0000000000000000e+00 -1.6755062913749863e+06 -1.6755062913749863e+06 0.0000000000000000e+00
-6.5576581183490659e-03 7.3887061905421954e-04 0.0000000000000000e+00 9.9371220989324327e-01 -1.1196447610330248e-01 0.0000000000000000e+00 1.5632107524809383e-07 3.0759481418440379e-06 1 4.2159878390715849e+03 4.9610035290760614e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1557367382842421e+02 3.4693560957921621e+00 1.3866138875102610e-01 7.8419237740822805e+00 5.4179726417565348e+01 0.0000000000000000e+00 -1.6677375011294819e+06 -1.6677375011294819e+06 0.0000000000000000e+00
-6.5306069308843986e-03 9.4867428716902103e-04 0.0000000000000000e+00 9.8961301856752582e-01 -1.4375699454868204e-01 0.0000000000000000e+00 2.0070873141539550e-07 3.1035614125855209e-06 1 4.1832946913260948e+03 4.9225331094418109e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1609140583257965e+02 3.4776833854595863e+00 1.5748873527787793e-01 1.2112130816067232e+01 6.8853710856876177e+01 0.0000000000000000e+00 -1.6572893431592516e+06 -1.6572893431592516e+06 0.0000000000000000e+00
-6.4968451033382019e-03 1.1575031283246797e-03 0.0000000000000000e+00 9.8449693296875207e-01 -1.7540179296438324e-01 0.0000000000000000e+00 2.4489014579353410e-07 3.1381326999456977e-06 1 4.1432383163154173e+03 4.8753982918438250e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1669752947248361e+02 3.4878245969197508e+00 1.7448837668981168e-01 1.7271215415239524e+01 8.2970683281560525e+01 0.0000000000000000e+00 -1.6439812390172675e+06 -1.6439812390172675e+06 0.0000000000000000e+00
-6.4564073282705331e-03 1.3651425567703661e-03 0.0000000000000000e+00 9.7836921022071488e-01 -2.0686635418089275e-01 0.0000000000000000e+00 2.8881991899263292e-07 3.1796978733685885e-06 1 4.0959160519667380e+03 4.8197136149901634e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1737278496172559e+02 3.4993188998036411e+00 1.9017448936073419e-01 2.3249942113070571e+01 9.6426416410478836e+01 0.0000000000000000e+00 -1.6278084901620350e+06 -1.6278084901620350e+06 0.0000000000000000e+00
-6.4093351582288141e-03 1.5713792089572117e-03 0.0000000000000000e+00 9.7123614697276328e-01 -2.3811834623459993e-01 0.0000000000000000e+00 3.3245291020113614e-07 3.2282993816299107e-06 1 4.0415960163978548e+03 4.7557945766904447e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1809320750042258e+02 3.5117396202492035e+00 2.0485710167562429e-01 2.9960630682203355e+01 1.0912002753935394e+02 0.0000000000000000e+00 -1.6087308642628314e+06 -1.6087308642628314e+06 0.0000000000000000e+00
-6.3556769630497764e-03 1.7760011627837810e-03 0.0000000000000000e+00 9.6310507292957104e-01 -2.6912565559107432e-01 0.0000000000000000e+00 3.7574428357104947e-07 3.2839859310125565e-06 1 3.9805211132907657e+03 4.6839270046248264e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1883968588366110e+02 3.5246137953577397e+00 2.1874442810478123e-01 3.7333548307556370e+01 1.2096491211233570e+02 0.0000000000000000e+00 -1.5868244492371124e+06 -1.5868244492371124e+06 0.0000000000000000e+00
-6.2954878801561864e-03 1.9787981553603552e-03 0.0000000000000000e+00 9.5398434331936210e-01 -2.9985642014391750e-01 0.0000000000000000e+00 4.1864955428979822e-07 3.3468121119102414e-06 1 3.9126308109576248e+03 4.6040396704291657e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1960647514967178e+02 3.5372428365413842e+00 2.3196482786842204e-01 4.5330812250218003e+01 1.3186954527316368e+02 0.0000000000000000e+00 -1.5625227649960413e+06 -1.5625227649960413e+06 0.0000000000000000e+00
-6.2288297578994151e-03 2.1795617990682629e-03 0.0000000000000000e+00 9.4388333030837035e-01 -3.3027906195515921e-01 0.0000000000000000e+00 4.6112463429137702e-07 3.4168379747960123e-06 1 3.8386145782865774e+03 4.5169438804254537e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.2036416993567599e+02 3.5493356960384035e+00 2.4458912024805429e-01 5.3819022769747185e+01 1.4173915289888873e+02 0.0000000000000000e+00 -1.5357665392028324e+06 -1.5357665392028324e+06 0.0000000000000000e+00
-6.1557710920060807e-03 2.3780857956922498e-03 0.0000000000000000e+00 9.3281241337026344e-01 -3.6036231970385696e-01 0.0000000000000000e+00 5.0312587755983505e-07 3.4941285566295695e-06 1 3.7588004716757532e+03 4.4230256625177031e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.2109547423825904e+02 3.5603379040920697e+00 2.5668571401726076e-01 6.2677958199442521e+01 1.5053825523383307e+02 0.0000000000000000e+00 -1.5067430298971639e+06 -1.5067430298971639e+06 0.0000000000000000e+00
-6.0763869551940528e-03 2.5741661484058342e-03 0.0000000000000000e+00 9.2078296862058906e-01 -3.9007528080904502e-01 0.0000000000000000e+00 5.4461012497847777e-07 3.5787533589196321e-06 1 3.6736833736085505e+03 4.3228673508682335e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.2177966123480547e+02 3.5697813546174748e+00 2.6828918556687098e-01 7.1803977615674725e+01 1.5821963721431186e+02 0.0000000000000000e+00 -1.4755672810126143e+06 -1.4755672810126143e+06 0.0000000000000000e+00
-5.9907589200301637e-03 2.7676013713918411e-03 0.0000000000000000e+00 9.0780735712699101e-01 -4.1938741319465916e-01 0.0000000000000000e+00 5.8553474867881389e-07 3.6707857787415968e-06 1 3.5836482363790519e+03 4.2169219234652097e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.2240263744062730e+02 3.5771201456307953e+00 2.7942032132358896e-01 8.1090292668863555e+01 1.6476203436104058e+02 0.0000000000000000e+00 -1.4424598619653932e+06 -1.4424598619653932e+06 0.0000000000000000e+00
-5.8989749751088838e-03 2.9581926968826975e-03 0.0000000000000000e+00 8.9389891220742290e-01 -4.4826859666319047e-01 0.0000000000000000e+00 6.2585769584353510e-07 3.7703024941831489e-06 1 3.4891713984341277e+03 4.1057498934804343e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.2295116842817851e+02 3.5818815505577519e+00 2.9009042830353088e-01 9.0437225282510454e+01 1.7015770052092066e+02 0.0000000000000000e+00 -1.4076283320764431e+06 -1.4076283320764431e+06 0.0000000000000000e+00
