pos.x pos.y pos.z n.x n.y n.z area cellWidthNormalToSurface outsign p rho T vel.x vel.y vel.z mu a Re y+ tau_wall.x tau_wall.y tau_wall.z q_total q_cond q_diff
-6.5983045134622702e-03 1.0577020598646207e-04 0.0000000000000000e+00 9.9987154579993121e-01 -1.6027847630174834e-02 0.0000000000000000e+00 2.2377547438792986e-08 3.0346017109489892e-06 1 4.2649392698648835e+03 5.0186052656532608e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1455666505315787e+02 3.4539889475807102e+00 5.1627957239018210e-02 8.6013824815785489e-01 7.6598067302591577e+00 0.0000000000000000e+00 -1.6788394796040680e+06 -1.6788394796040680e+06 0.0000000000000000e+00
-6.5915243095383790e-03 3.1720193192281466e-04 0.0000000000000000e+00 9.9884411019668073e-01 -4.8067073193623078e-02 0.0000000000000000e+00 6.7109647873694156e-08 3.0414866326319550e-06 1 4.2571313605488731e+03 5.0094176049791821e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1490522098512713e+02 3.4583930912007710e+00 9.0596339708800155e-02 2.3082964806581421e+00 2.3558239141537406e+01 0.0000000000000000e+00 -1.6809970921736378e+06 -1.6809970921736378e+06 0.0000000000000000e+00
-6.5779708688084634e-03 5.2830771143170239e-04 0.0000000000000000e+00 9.9679029474971570e-01 -8.0056906590092292e-02 0.0000000000000000e+00 1.1177278860888530e-07 3.0552638670417402e-06 1 4.2410058175084887e+03 4.9904424847973285e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1516833796039418e+02 3.4630942347947169e+00 1.1697788603051336e-01 4.5857421850901652e+00 3.8989089195195263e+01 0.0000000000000000e+00 -1.6755063081711812e+06 -1.6755063081711812e+06 0.0000000000000000e+00
-6.5576581183490659e-03 7.3887061905421954e-04 0.0000000000000000e+00 9.9371220989324327e-01 -1.1196447610330248e-01 0.0000000000000000e+00 1.5632107524809383e-07 3.0759481418440379e-06 1 4.2159878569889561e+03 4.9610035501596476e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1557367635886123e+02 3.4693561316614345e+00 1.3866140096679924e-01 7.8419282652346416e+00 5.4179735278665284e+01 0.0000000000000000e+00 -1.6677375573607446e+06 -1.6677375573607446e+06 0.0000000000000000e+00
-6.5306069308843986e-03 9.4867428716902103e-04 0.0000000000000000e+00 9.8961301856752582e-01 -1.4375699454868204e-01 0.0000000000000000e+00 2.0070873141539550e-07 3.1035614125855209e-06 1 4.1832946743124248e+03 4.9225330894216213e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1609140632600742e+02 3.4776833754397325e+00 1.5748874201617388e-01 1.2112129976864024e+01 6.8853717367457463e+01 0.0000000000000000e+00 -1.6572893538430119e+06 -1.6572893538430119e+06 0.0000000000000000e+00
-6.4968451033382019e-03 1.1575031283246797e-03 0.0000000000000000e+00 9.8449693296875207e-01 -1.7540179296438324e-01 0.0000000000000000e+00 2.4489014579353410e-07 3.1381326999456977e-06 1 4.1432383096559233e+03 4.8753982840075191e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1669752943126895e+02 3.4878245909687404e+00 1.7448837481469007e-01 1.7271215819809044e+01 8.2970681475941234e+01 0.0000000000000000e+00 -1.6439812380507602e+06 -1.6439812380507602e+06 0.0000000000000000e+00
-6.4564073282705331e-03 1.3651425567703661e-03 0.0000000000000000e+00 9.7836921022071488e-01 -2.0686635418089275e-01 0.0000000000000000e+00 2.8881991899263292e-07 3.1796978733685885e-06 1 4.0959160528630232e+03 4.8197136160448330e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1737278600870957e+02 3.4993189093474544e+00 1.9017448877559129e-01 2.3249946078762108e+01 9.6426414804079016e+01 0.0000000000000000e+00 -1.6278085118343157e+06 -1.6278085118343157e+06 0.0000000000000000e+00
-6.4093351582288141e-03 1.5713792089572117e-03 0.0000000000000000e+00 9.7123614697276328e-01 -2.3811834623459993e-01 0.0000000000000000e+00 3.3245291020113614e-07 3.2282993816299107e-06 1 4.0415960101838891e+03 4.7557945693783965e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1809321024128820e+02 3.5117396378715688e+00 2.0485710344046082e-01 2.9960636193002642e+01 1.0912002822856320e+02 0.0000000000000000e+00 -1.6087309208150276e+06 -1.6087309208150276e+06 0.0000000000000000e+00
-6.3556769630497764e-03 1.7760011627837810e-03 0.0000000000000000e+00 9.6310507292957104e-01 -2.6912565559107432e-01 0.0000000000000000e+00 3.7574428357104947e-07 3.2839859310125565e-06 1 3.9805211087514786e+03 4.6839269992833929e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1883968997055240e+02 3.5246138257303072e+00 2.1874443308623664e-01 3.7333558456115135e+01 1.2096491516550714e+02 0.0000000000000000e+00 -1.5868245313732335e+06 -1.5868245313732335e+06 0.0000000000000000e+00
-6.2954878801561864e-03 1.9787981553603552e-03 0.0000000000000000e+00 9.5398434331936210e-01 -2.9985642014391750e-01 0.0000000000000000e+00 4.1864955428979822e-07 3.3468121119102414e-06 1 3.9126307787187193e+03 4.6040396324932585e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1960648125943248e+02 3.5372428589002669e+00 2.3196483396205933e-01 4.5330824709116392e+01 1.3186954995235789e+02 0.0000000000000000e+00 -1.5625228843852133e+06 -1.5625228843852133e+06 0.0000000000000000e+00
