pos.x pos.y pos.z n.x n.y n.z area cellWidthNormalToSurface outsign p rho T vel.x vel.y vel.z mu a Re y+ tau_wall.x tau_wall.y tau_wall.z q_total q_cond q_diff
-6.5983045134622720e-03 1.0577020598646207e-04 0.0000000000000000e+00 9.9987154579993121e-01 -1.6027847630174834e-02 0.0000000000000000e+00 2.2377547438792986e-08 3.0346017109489892e-06 1 4.2649392884202416e+03 5.0186052874875736e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1455667106549276e+02 3.4539890127012534e+00 5.1627941231397009e-02 8.6013511824370992e-01 7.6598022381277300e+00 0.0000000000000000e+00 -1.6788396170701897e+06 -1.6788396170701897e+06 0.0000000000000000e+00
-6.5915243095383807e-03 3.1720193192281472e-04 0.0000000000000000e+00 9.9884411019668029e-01 -4.8067073193631231e-02 0.0000000000000000e+00 6.7109647873694223e-08 3.0414866326309525e-06 1 4.2571314156337576e+03 5.0094176697982273e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1490522654525279e+02 3.4583931822950578e+00 9.0596398640107240e-02 2.3083098670162943e+00 2.3558268464847497e+01 0.0000000000000000e+00 -1.6809972134483631e+06 -1.6809972134483631e+06 0.0000000000000000e+00
-6.5779708688084634e-03 5.2830771143170261e-04 0.0000000000000000e+00 9.9679029474971570e-01 -8.0056906590092250e-02 0.0000000000000000e+00 1.1177278860888540e-07 3.0552638670433712e-06 1 4.2410057935890618e+03 4.9904424566510515e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1516833690654573e+02 3.4630942064739938e+00 1.1697791596125695e-01 4.5857440652093571e+00 3.8989109424990133e+01 0.0000000000000000e+00 -1.6755062831252078e+06 -1.6755062831252078e+06 0.0000000000000000e+00
-6.5576581183490659e-03 7.3887061905421965e-04 0.0000000000000000e+00 9.9371220989324305e-01 -1.1196447610330264e-01 0.0000000000000000e+00 1.5632107524809362e-07 3.0759481418453153e-06 1 4.2159878357407706e+03 4.9610035251566528e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1557367286683541e+02 3.4693560850249772e+00 1.3866138356700303e-01 7.8419220319921399e+00 5.4179722577351235e+01 0.0000000000000000e+00 -1.6677374805139436e+06 -1.6677374805139436e+06 0.0000000000000000e+00
-6.5306069308843995e-03 9.4867428716902135e-04 0.0000000000000000e+00 9.8961301856752781e-01 -1.4375699454866950e-01 0.0000000000000000e+00 2.0070873141539589e-07 3.1035614125842177e-06 1 4.1832946926202603e+03 4.9225331109646712e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1609140596254497e+02 3.4776833876202478e+00 1.5748873424498841e-01 1.2112132321149216e+01 6.8853709639113404e+01 0.0000000000000000e+00 -1.6572893441760275e+06 -1.6572893441760275e+06 0.0000000000000000e+00
-6.4968451033382037e-03 1.1575031283246801e-03 0.0000000000000000e+00 9.8449693296875207e-01 -1.7540179296438380e-01 0.0000000000000000e+00 2.4489014579353341e-07 3.1381326999436902e-06 1 4.1432383086083628e+03 4.8753982827748420e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1669752905035779e+02 3.4878245868963740e+00 1.7448837491463620e-01 1.7271213675304303e+01 8.2970682043509072e+01 0.0000000000000000e+00 -1.6439812313828159e+06 -1.6439812313828159e+06 0.0000000000000000e+00
-6.4564073282705357e-03 1.3651425567703661e-03 0.0000000000000000e+00 9.7836921022071410e-01 -2.0686635418089669e-01 0.0000000000000000e+00 2.8881991899263313e-07 3.1796978733655909e-06 1 4.0959160584260967e+03 4.8197136225909688e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1737278449621726e+02 3.4993189014159580e+00 1.9017448580131149e-01 2.3249942804671917e+01 9.6426412263607332e+01 0.0000000000000000e+00 -1.6278084796244646e+06 -1.6278084796244646e+06 0.0000000000000000e+00
-6.4093351582288158e-03 1.5713792089572117e-03 0.0000000000000000e+00 9.7123614697276239e-01 -2.3811834623460382e-01 0.0000000000000000e+00 3.3245291020113640e-07 3.2282993816279138e-06 1 4.0415960269857692e+03 4.7557945891493709e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1809320693891954e+02 3.5117396247305632e+00 2.0485709879812652e-01 2.9960629716883467e+01 1.0912002420055187e+02 0.0000000000000000e+00 -1.6087308515603170e+06 -1.6087308515603170e+06 0.0000000000000000e+00
-6.3556769630497773e-03 1.7760011627837810e-03 0.0000000000000000e+00 9.6310507292957004e-01 -2.6912565559107809e-01 0.0000000000000000e+00 3.7574428357104984e-07 3.2839859310120915e-06 1 3.9805211315107908e+03 4.6839270260645487e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1883968535436128e+02 3.5246138070362862e+00 2.1874442521581625e-01 3.7333547817911814e+01 1.2096490815753357e+02 0.0000000000000000e+00 -1.5868244378005178e+06 -1.5868244378005178e+06 0.0000000000000000e+00
-6.2954878801561864e-03 1.9787981553603552e-03 0.0000000000000000e+00 9.5398434331936210e-01 -2.9985642014391750e-01 0.0000000000000000e+00 4.1864955428979822e-07 3.3468121119112032e-06 1 3.9126308253204743e+03 4.6040396873301033e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.1960647461210232e+02 3.5372428449955819e+00 2.3196482510332017e-01 4.5330810538968478e+01 1.3186954180468368e+02 0.0000000000000000e+00 -1.5625227552162004e+06 -1.5625227552162004e+06 0.0000000000000000e+00
-6.2288297578994151e-03 2.1795617990682634e-03 0.0000000000000000e+00 9.4388333030837057e-01 -3.3027906195515855e-01 0.0000000000000000e+00 4.6112463429137797e-07 3.4168379747960059e-06 1 3.8386145999343116e+03 4.5169439058986030e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.2036416971928281e+02 3.5493357142276420e+00 2.4458911781546255e-01 5.3819021170371926e+01 1.4173914936574886e+02 0.0000000000000000e+00 -1.5357665342947028e+06 -1.5357665342947028e+06 0.0000000000000000e+00
-6.1557710920060807e-03 2.3780857956922502e-03 0.0000000000000000e+00 9.3281241337026310e-01 -3.6036231970385763e-01 0.0000000000000000e+00 5.0312587755983420e-07 3.4941285566298969e-06 1 3.7588005050657921e+03 4.4230257018081628e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.2109547365677923e+02 3.5603379308030880e+00 2.5668571317983002e-01 6.2677954967347887e+01 1.5053825385790282e+02 0.0000000000000000e+00 -1.5067430190427788e+06 -1.5067430190427788e+06 0.0000000000000000e+00
-6.0763869551940537e-03 2.5741661484058342e-03 0.0000000000000000e+00 9.2078296862059195e-01 -3.9007528080903808e-01 0.0000000000000000e+00 5.4461012497847597e-07 3.5787533589191743e-06 1 3.6736833961603311e+03 4.3228673774051846e-02 2.9600000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8278800576816405e-05 4.2177966037865559e+02 3.5697813692848470e+00 2.6828918490719805e-01 7.1803974399055420e+01 1.5821963656452067e+02 0.0000000000000000e+00 -1.4755672661398957e+06 -1.4755672661398957e+06 0.0000000000000000e+00
