#  x                   y                    theta                d/R
 -7.728864575156e-03  -2.536291751586e-18  -1.880209072971e-14   1.041235107365e-01
 -7.726643758562e-03   1.140145479373e-04   8.453965955590e-01   1.039264162189e-01
 -7.725732928828e-03   2.281061084453e-04   1.691195074299e+00   1.041570954878e-01
 -7.720757270896e-03   3.421276419852e-04   2.537271121861e+00   1.040476934343e-01
 -7.716815027979e-03   4.564004213486e-04   3.384737257121e+00   1.043285476876e-01
 -7.709132139099e-03   5.705875475627e-04   4.232999970676e+00   1.043170249445e-01
 -7.702064782813e-03   6.852109807941e-04   5.083910779472e+00   1.046406379069e-01
 -7.691684299548e-03   7.999022155101e-04   5.937173267246e+00   1.047379495192e-01
 -7.681355002764e-03   9.152174133665e-04   6.794640594697e+00   1.050979972449e-01
 -7.668217756222e-03   1.030749664529e-03   7.655719224985e+00   1.053119277875e-01
 -7.654522781326e-03   1.146929532584e-03   8.521622921883e+00   1.057102838849e-01
 -7.638502397466e-03   1.263382343539e-03   9.391505071979e+00   1.060395776775e-01
 -7.621433683612e-03   1.380246299439e-03   1.026504332911e+01   1.064867294575e-01
 -7.602431870808e-03   1.497214783173e-03   1.114119276093e+01   1.069227657479e-01
 -7.582078628702e-03   1.614316323244e-03   1.201948914925e+01   1.074325291403e-01
 -7.560033041201e-03   1.731341581722e-03   1.289901254117e+01   1.079641493560e-01
 -7.536520492266e-03   1.848210550679e-03   1.377894431822e+01   1.085477111784e-01
 -7.511456479547e-03   1.964793797372e-03   1.465860039711e+01   1.091676702008e-01
 -7.484906339277e-03   2.081049478915e-03   1.553767520122e+01   1.098316643954e-01
 -7.456862273479e-03   2.196929294259e-03   1.641594673346e+01   1.105366719690e-01
 -7.427347799552e-03   2.312404503163e-03   1.729327207015e+01   1.112845106945e-01
 -7.396375453742e-03   2.427455662529e-03   1.816959284339e+01   1.120757466334e-01
 -7.363953534327e-03   2.542064647618e-03   1.904486790502e+01   1.129103630076e-01
 -7.330096511073e-03   2.656211097099e-03   1.991902483235e+01   1.137890125007e-01
 -7.294811299754e-03   2.769900501824e-03   2.079218599911e+01   1.147125619164e-01
 -7.258116746785e-03   2.883109408686e-03   2.166424029431e+01   1.156820790341e-01
 -7.220023076877e-03   2.995820082984e-03   2.253513620650e+01   1.166976752748e-01
 -7.180537855872e-03   3.108030949215e-03   2.340493787806e+01   1.177599709558e-01
 -7.139678717986e-03   3.219726100298e-03   2.427358081659e+01   1.188701330506e-01
 -7.097465384641e-03   3.330881129233e-03   2.514093403521e+01   1.200290082181e-01
 -7.053913729784e-03   3.441473770301e-03   2.600689042325e+01   1.212369319322e-01
 -7.009036129672e-03   3.551492177314e-03   2.687142106460e+01   1.224943448117e-01
 -6.962859196552e-03   3.660913497775e-03   2.773437594680e+01   1.238027264350e-01
 -6.915398434507e-03   3.769726165287e-03   2.859571140481e+01   1.251627625500e-01
 -6.866669996835e-03   3.877914751706e-03   2.945535437410e+01   1.265749036841e-01
 -6.816697353318e-03   3.985456279208e-03   3.031315594536e+01   1.280398798875e-01
 -6.765507746671e-03   4.092330748166e-03   3.116896934105e+01   1.295589352563e-01
 -6.713120641947e-03   4.198527302580e-03   3.202272989753e+01   1.311329002543e-01
 -6.659555254832e-03   4.304031602061e-03   3.287434963099e+01   1.327622390773e-01
 -6.604844803676e-03   4.408817855821e-03   3.372361384987e+01   1.344480791175e-01
 -6.549011645749e-03   4.512877097058e-03   3.457044898702e+01   1.361913933096e-01
 -6.492073740005e-03   4.616205352164e-03   3.541482540184e+01   1.379929817492e-01
 -6.434067195500e-03   4.718772861895e-03   3.625648360147e+01   1.398535351524e-01
 -6.375018733420e-03   4.820568816819e-03   3.709531158415e+01   1.417740186106e-01
 -6.314941386428e-03   4.921602884929e-03   3.793136967060e+01   1.437555368079e-01
 -6.253872010625e-03   5.021847105964e-03   3.876439683410e+01   1.457985672684e-01
 -6.191842773099e-03   5.121285814533e-03   3.959422014175e+01   1.479039044695e-01
 -6.128864936061e-03   5.219934788961e-03   4.042093098495e+01   1.500727980994e-01
 -6.064963702280e-03   5.317787699324e-03   4.124443137067e+01   1.523060350751e-01
 -6.000163510890e-03   5.414842533893e-03   4.206464669031e+01   1.546046396775e-01
 -5.934480470471e-03   5.511108085378e-03   4.288159461791e+01   1.569697470434e-01
 -5.867942987980e-03   5.606574820069e-03   4.369513438110e+01   1.594019933166e-01
 -5.800580405500e-03   5.701234378204e-03   4.450512448379e+01   1.619020865338e-01
 -5.732410404210e-03   5.795094515948e-03   4.531155915097e+01   1.644710587886e-01
 -5.663451813679e-03   5.888161403364e-03   4.611441469264e+01   1.671099064935e-01
 -5.593734518722e-03   5.980427185732e-03   4.691353984937e+01   1.698192359034e-01
 -5.523274567037e-03   6.071902061266e-03   4.770893795222e+01   1.726000813166e-01
 -5.452102199234e-03   6.162577762916e-03   4.850044873306e+01   1.754528703898e-01
 -5.380247067180e-03   6.252447593780e-03   4.928792115799e+01   1.783779877344e-01
 -5.307722553090e-03   6.341525700430e-03   5.007138234142e+01   1.813764620550e-01
 -5.234569388993e-03   6.429792798690e-03   5.085056236913e+01   1.844481374253e-01
 -5.160819812098e-03   6.517241001685e-03   5.162528784494e+01   1.875931018884e-01
 -5.086491607899e-03   6.603880808827e-03   5.239554123909e+01   1.908120931157e-01
 -5.011638829524e-03   6.689679829647e-03   5.316092637667e+01   1.941040530053e-01
 -4.936295872536e-03   6.774629998645e-03   5.392125921296e+01   1.974686614259e-01
 -4.860489679106e-03   6.858732923890e-03   5.467643634870e+01   2.009059271042e-01
 -4.784265001652e-03   6.941969948242e-03   5.542617581905e+01   2.044148241953e-01
 -4.707658073251e-03   7.024334131803e-03   5.617029180330e+01   2.079947503760e-01
 -4.630724670727e-03   7.105797717846e-03   5.690841274159e+01   2.116439513981e-01
 -4.553500445279e-03   7.186355597399e-03   5.764036991386e+01   2.153614821082e-01
 -4.476030451068e-03   7.265994516923e-03   5.836591417455e+01   2.191459449462e-01
