pos.x pos.y vol rho vel.x vel.y p a shock-detector massf-air e T
 0.00590955 0.299376 5.04295e-05 1 694.502 1.08742e-13 86131 347.251 0 1 215327 300
 0.0122812 0.297348 6.25845e-05 1 694.502 -4.98012e-13 86131 347.251 0 1 215327 300
 0.0168465 0.303024 8.91785e-05 1 694.502 -4.37084e-13 86131 347.251 0 1 215327 300
 0.0240277 0.301382 9.54625e-05 1 694.502 6.97041e-13 86131 347.251 0 1 215327 300
 0.0364636 0.304927 7.25762e-05 1 694.502 1.50207e-12 86131 347.251 0 1 215327 300
 0.03892 0.297577 7.3848e-05 1 694.502 2.30581e-12 86131 347.251 0 1 215327 300
 0.0463531 0.295833 7.20363e-05 1 694.502 -6.02665e-12 86131 347.251 0 1 215327 300
 0.0510324 0.301681 7.44276e-05 1 694.502 -2.14044e-11 86131 347.251 0 1 215327 300
 0.0584816 0.300853 7.61346e-05 1 694.502 -3.09915e-11 86131 347.251 0 1 215327 300
 0.0687241 0.292905 7.19021e-05 1 694.502 -2.92871e-12 86131 347.251 0 1 215327 300
 0.0735902 0.298377 7.67043e-05 1 694.502 1.18953e-10 86131 347.251 0 1 215327 300
 0.0810282 0.296295 7.55174e-05 1 694.502 3.76515e-10 86131 347.251 0 1 215327 300
 0.0867184 0.301775 8.60272e-05 1 694.502 3.73966e-10 86131 347.251 0 1 215327 300
 0.0935072 0.299307 6.70269e-05 1 694.502 -4.93664e-10 86131 347.251 0 1 215327 300
 0.0996987 0.302602 6.62913e-05 1 694.502 -3.92509e-09 86131 347.251 0 1 215327 300
 0.105505 0.297212 6.20432e-05 1 694.502 -4.41078e-09 86131 347.251 0 1 215327 300
 0.112402 0.299134 7.90944e-05 1 694.502 -3.35285e-09 86131 347.251 0 1 215327 300
 0.11745 0.294707 6.67577e-05 1 694.502 3.95198e-10 86131 347.251 0 1 215327 300
 0.124576 0.296074 6.06519e-05 1 694.502 2.24523e-08 86131 347.251 0 1 215327 300
 0.127501 0.301446 6.47224e-05 1 694.502 6.52376e-08 86131 347.251 0 1 215327 300
 0.134831 0.301624 6.11531e-05 1 694.502 1.2881e-07 86131 347.251 0 1 215327 300
 0.139302 0.295419 8.24682e-05 1 694.502 1.08198e-07 86131 347.251 0 1 215327 300
 0.146172 0.296136 6.98651e-05 1 694.502 1.42131e-07 86131 347.251 0 1 215327 300
 0.148955 0.303792 7.20576e-05 1 694.502 -2.42576e-07 86131 347.251 0 1 215327 300
 0.155923 0.302931 7.07378e-05 1 694.502 -6.93668e-07 86131 347.251 0 1 215327 300
 0.158447 0.294357 7.33395e-05 1 694.502 -2.72395e-08 86131 347.251 0 1 215327 300
 0.169924 0.298791 7.2045e-05 1 694.502 -4.09969e-06 86131 347.251 0 1 215327 300
 0.17622 0.295059 7.72195e-05 1 694.502 -3.3923e-06 86131 347.251 0 1 215327 300
 0.183137 0.296894 9.68615e-05 1 694.502 5.30829e-06 86131 347.251 0 1 215327 300
 0.186146 0.304807 0.000111719 1 694.502 1.91964e-05 86131 347.251 0 1 215327 300
 0.195071 0.304615 9.19942e-05 1 694.502 5.65422e-05 86130.9 347.251 0 1 215327 300
 0.199048 0.297413 7.3176e-05 1 694.502 5.59231e-05 86130.9 347.251 0 1 215327 300
 0.206249 0.296972 6.39929e-05 1 694.502 6.53042e-05 86130.9 347.251 0 1 215327 300
 0.210499 0.302492 6.55956e-05 1 694.502 -1.02233e-05 86131 347.251 0 1 215327 300
 0.217507 0.301202 6.00866e-05 1 694.502 -0.000126517 86131 347.251 0 1 215327 300
 0.227702 0.304991 4.36422e-05 1 694.502 -0.00081498 86131.3 347.251 0 1 215328 300
 0.230851 0.299309 6.29402e-05 1 694.502 -0.00061976 86131.3 347.251 0 1 215328 300
 0.237088 0.299795 5.6486e-05 1 694.501 -0.000984018 86131.4 347.251 0 1 215328 300
 0.242013 0.295621 5.83798e-05 1 694.501 -0.000984978 86131.4 347.251 0 1 215328 300
 0.247936 0.299658 5.02989e-05 1 694.502 -0.000316094 86131.1 347.251 0 1 215328 300
 0.254098 0.297674 7.23642e-05 0.999995 694.504 0.0011822 86130.3 347.251 0 1 215327 299.999
 0.259743 0.302803 7.58006e-05 0.999974 694.509 0.00595109 86127.9 347.249 0 1 215325 299.997
 0.266516 0.300828 6.66352e-05 0.999962 694.513 0.00816207 86126.3 347.248 0 1 215324 299.995
