pos.x pos.y vol rho vel.x vel.y p a shock-detector massf-air e T
 0.0169809 1.02941 0.00149831 1 694.502 1.15023e-13 86131 347.251 0 1 215327 300
 0.0339618 1 0.00149831 1 694.502 -1.18844e-13 86131 347.251 0 1 215327 300
 0.0707246 1 0.00174546 1 694.502 -8.04522e-14 86131 347.251 0 1 215327 300
 0.0905065 1.02941 0.00174546 1 694.502 1.27041e-13 86131 347.251 0 1 215327 300
 0.130875 1.02941 0.00181642 1 694.502 5.66251e-14 86131 347.251 0 1 215327 300
 0.151461 1 0.00181642 1 694.502 -5.95912e-15 86131 347.251 0 1 215327 300
 0.192633 1 0.00181642 1 694.502 -2.21705e-14 86131 347.251 0 1 215327 300
 0.213219 1.02941 0.00181642 1 694.502 -1.1514e-13 86131 347.251 0 1 215327 300
 0.254391 1.02941 0.00181642 1 694.502 -1.75311e-13 86131 347.251 0 1 215327 300
 0.274978 1 0.00181642 1 694.502 -8.29458e-14 86131 347.251 0 1 215327 300
 0.31615 1 0.00181642 1 694.502 -1.31764e-13 86131 347.251 0 1 215327 300
 0.377908 1.02941 0.00181642 1 694.502 2.97755e-14 86131 347.251 0 1 215327 300
 0.398494 1 0.00181642 1 694.502 3.80578e-14 86131 347.251 0 1 215327 300
 0.439667 1 0.00181642 1 694.502 1.22074e-13 86131 347.251 0 1 215327 300
 0.460253 0.970588 0.00181642 1 694.502 2.14089e-13 86131 347.251 0 1 215327 300
 0.501425 0.970588 0.00181642 1 694.502 1.98517e-13 86131 347.251 0 1 215327 300
 0.522011 1 0.00181642 1 694.502 2.21563e-13 86131 347.251 0 1 215327 300
 0.563184 1 0.00181642 1 694.502 1.42238e-13 86131 347.251 0 1 215327 300
 0.58377 0.970588 0.00181642 1 694.502 -3.64222e-13 86131 347.251 0 1 215327 300
 0.624942 0.970588 0.00181642 1 694.502 -3.67295e-13 86131 347.251 0 1 215327 300
 0.645528 1 0.00181642 1 694.502 -4.23718e-13 86131 347.251 0 1 215327 300
 0.6867 1 0.00181642 1 694.502 -4.4287e-13 86131 347.251 0 1 215327 300
 0.707287 0.970588 0.00181642 1 694.502 4.55377e-14 86131 347.251 0 1 215327 300
 0.747416 0.970468 0.00172437 1 694.502 -7.42502e-14 86131 347.251 0 1 215327 300
 0.768002 0.99988 0.00178154 1 694.502 1.11695e-13 86131 347.251 0 1 215327 300
 0.806233 0.998978 0.0016167 1 694.502 6.66332e-14 86131 347.251 0 1 215327 300
 0.826625 1.02817 0.00168347 1 694.502 7.47481e-14 86131 347.251 0 1 215327 300
 0.877791 0.994424 0.0016227 1 694.502 -3.96563e-13 86131 347.251 0 1 215327 300
 0.915547 0.990572 0.00186302 1 694.502 -3.02658e-13 86131 347.251 0 1 215327 300
 0.932926 1.01885 0.00155003 1 694.502 -3.59821e-13 86131 347.251 0 1 215327 300
 0.964585 1.02418 0.00146777 1 694.502 -4.52823e-13 86131 347.251 0 1 215327 300
 0.987043 1.00413 0.00147428 1 694.502 -1.10454e-13 86131 347.251 0 1 215327 300
 1.01997 1.0193 0.00152051 1 694.502 -3.47476e-14 86131 347.251 0 1 215327 300
 1.04023 0.99388 0.00145121 1 694.502 2.32791e-13 86131 347.251 0 1 215327 300
 1.06885 0.995715 0.00147117 1 694.502 2.91064e-13 86131 347.251 0 1 215327 300
 1.09193 1.02162 0.00153595 1 694.502 3.9075e-13 86131 347.251 0 1 215327 300
 1.12336 1.00659 0.00131927 1 694.502 4.8356e-13 86131 347.251 0 1 215327 300
 1.15603 1.02039 0.00188653 1 694.502 5.41751e-13 86131 347.251 0 1 215327 300
 1.18226 0.99891 0.00150532 1 694.502 3.6493e-13 86131 347.251 0 1 215327 300
 1.2188 1.00386 0.00170306 1 694.502 3.57731e-13 86131 347.251 0 1 215327 300
 1.29068 0.980985 0.00152593 1 694.502 1.59307e-13 86131 347.251 0 1 215327 300
 1.29915 1.01214 0.00182085 1 694.502 8.08708e-14 86131 347.251 0 1 215327 300
 1.34007 1.02285 0.00183446 1 694.502 8.37377e-14 86131 347.251 0 1 215327 300
 1.36201 0.999473 0.00148776 1 694.502 7.98956e-14 86131 347.251 0 1 215327 300
 1.39555 0.998598 0.0014275 1 694.502 7.78406e-14 86131 347.251 0 1 215327 300
 1.42071 1.02012 0.00180527 1 694.502 6.45436e-14 86131 347.251 0 1 215327 300
 1.45325 1.00643 0.00128313 1 694.502 3.16988e-14 86131 347.251 0 1 215327 300
 1.48502 1.0214 0.00157038 1 694.502 -3.41702e-14 86131 347.251 0 1 215327 300
 1.50909 0.993569 0.00172103 1 694.502 5.35314e-14 86131 347.251 0 1 215327 300
 1.5386 0.994012 0.00163619 1 694.502 6.83152e-14 86131 347.251 0 1 215327 300
 1.55899 1.02175 0.00139495 1 694.502 2.37696e-13 86131 347.251 0 1 215327 300
 1.58754 1.00925 0.000941612 1 694.502 8.70665e-14 86131 347.251 0 1 215327 300
 1.63483 0.997295 0.00123976 1 694.502 -6.39137e-14 86131 347.251 0 1 215327 300
 1.66215 0.995193 0.00138393 1 694.502 -5.63659e-14 86131 347.251 0 1 215327 300
 1.6859 1.01809 0.00150889 1 694.502 -1.24988e-13 86131 347.251 0 1 215327 300
