# 1:x(m)  2:rho(kg/m**3) 3:p(Pa) 4:T(K) 5:V(m/s)
0 0.999732 100000 348.4 0
0.275471 0.999732 100000 348.4 0
0.276813 0.99475 99303 347.704 1.863
0.278163 0.989758 98606 347.005 3.73719
0.279521 0.984756 97909.1 346.303 5.62274
0.280887 0.979744 97212.1 345.597 7.51978
0.282262 0.974721 96515.1 344.887 9.42848
0.283646 0.969688 95818.1 344.174 11.349
0.285038 0.964645 95121.2 343.456 13.2815
0.286439 0.959591 94424.2 342.735 15.2261
0.287849 0.954526 93727.2 342.011 17.183
0.289267 0.949451 93030.2 341.282 19.1523
0.290695 0.944364 92333.3 340.55 21.1343
0.292132 0.939267 91636.3 339.813 23.1292
0.293579 0.934159 90939.3 339.073 25.137
0.295035 0.929039 90242.3 338.328 27.158
0.2965 0.923908 89545.4 337.58 29.1924
0.297975 0.918766 88848.4 336.827 31.2403
0.299461 0.913612 88151.4 336.07 33.302
0.300956 0.908447 87454.4 335.308 35.3777
0.302462 0.903269 86757.5 334.543 37.4675
0.303977 0.89808 86060.5 333.773 39.5717
0.305504 0.892879 85363.5 332.998 41.6906
0.307041 0.887665 84666.5 332.219 43.8242
0.308589 0.88244 83969.6 331.435 45.9729
0.310148 0.877202 83272.6 330.647 48.1369
0.311718 0.871951 82575.6 329.854 50.3163
0.3133 0.866688 81878.6 329.056 52.5116
0.314893 0.861412 81181.7 328.253 54.7228
0.316498 0.856123 80484.7 327.446 56.9503
0.318114 0.850821 79787.7 326.633 59.1944
0.319743 0.845505 79090.7 325.815 61.4552
0.321384 0.840176 78393.8 324.992 63.7331
0.323038 0.834834 77696.8 324.164 66.0283
0.324704 0.829478 76999.8 323.33 68.3412
0.326383 0.824108 76302.8 322.492 70.672
0.328076 0.818724 75605.9 321.647 73.021
0.329782 0.813326 74908.9 320.797 75.3886
0.331501 0.807913 74211.9 319.942 77.7751
0.333234 0.802486 73514.9 319.08 80.1808
0.334982 0.797045 72817.9 318.213 82.606
0.336743 0.791588 72121 317.34 85.051
0.33852 0.786116 71424 316.46 87.5163
0.340311 0.780629 70727 315.575 90.0023
0.342117 0.775127 70030 314.683 92.5092
0.343939 0.769608 69333.1 313.785 95.0375
0.345776 0.764074 68636.1 312.881 97.5875
0.347629 0.758524 67939.1 311.97 100.16
0.349499 0.752958 67242.1 311.052 102.755
0.351385 0.747375 66545.2 310.127 105.372
0.353288 0.741775 65848.2 309.196 108.014
0.355209 0.736158 65151.2 308.257 110.679
0.357147 0.730525 64454.2 307.311 113.369
0.359103 0.724873 63757.3 306.358 116.083
0.361077 0.719204 63060.3 305.398 118.823
0.363071 0.713517 62363.3 304.429 121.589
0.365083 0.707812 61666.3 303.453 124.382
0.367114 0.702089 60969.4 302.469 127.201
0.369166 0.696347 60272.4 301.477 130.049
0.371238 0.690585 59575.4 300.477 132.924
0.373331 0.684805 58878.4 299.469 135.828
0.375445 0.679005 58181.5 298.451 138.761
0.37758 0.673185 57484.5 297.426 141.725
0.379738 0.667344 56787.5 296.391 144.719
0.381919 0.661484 56090.5 295.347 147.745
0.384122 0.655602 55393.6 294.294 150.803
0.38635 0.649699 54696.6 293.231 153.894
0.388602 0.643775 53999.6 292.158 157.019
0.390879 0.637829 53302.6 291.076 160.179
0.393181 0.63186 52605.7 289.983 163.373
0.39551 0.625869 51908.7 288.88 166.604
0.397865 0.619855 51211.7 287.767 169.872
0.400248 0.613818 50514.7 286.642 173.178
0.402659 0.607756 49817.8 285.507 176.524
0.405098 0.601671 49120.8 284.36 179.909
0.407568 0.59556 48423.8 283.201 183.335
0.410068 0.589425 47726.8 282.03 186.804
0.412599 0.583264 47029.9 280.848 190.316
0.415163 0.577076 46332.9 279.652 193.873
0.417759 0.570862 45635.9 278.444 197.475
0.42039 0.564621 44938.9 277.222 201.125
0.423055 0.558352 44241.9 275.987 204.822
0.425757 0.552055 43545 274.737 208.57
0.428496 0.545729 42848 273.474 212.37
0.431272 0.539373 42151 272.195 216.222
0.434088 0.532988 41454 270.902 220.128
0.436945 0.526571 40757.1 269.592 224.091
0.439844 0.520124 40060.1 268.267 228.112
0.442786 0.513644 39363.1 266.925 232.193
0.445772 0.507131 38666.1 265.566 236.336
0.448805 0.500584 37969.2 264.19 240.542
0.451885 0.494004 37272.2 262.795 244.815
0.455015 0.487388 36575.2 261.381 249.156
0.458196 0.480735 35878.2 259.948 253.568
0.46143 0.474046 35181.3 258.495 258.053
0.464719 0.467319 34484.3 257.022 262.614
0.468065 0.460553 33787.3 255.527 267.254
0.47147 0.453746 33090.3 254.009 271.977
0.474936 0.446899 32393.4 252.469 276.784
0.478466 0.44001 31696.4 250.905 281.68
0.482063 0.433077 30999.4 249.316 286.667
0.48573 0.426099 30302.4 247.702 291.751
0.486719 0.426099 30302.4 247.702 293.4
0.67604 0.426099 30302.4 247.702 293.4
0.675958 0.26537 30302.4 397.73 293.263
0.832485 0.26537 30302.4 397.73 293.263
0.832485 0.124931 10000 278.8 0
1 0.124931 10000 278.8 0
