# file        : symbol   : name  
A1.lua	      : A1	 : na
A1-.lua       : A1-	 : n1
Ar.lua        :	Ar	 : argon
Ar_plus.lua   :	Ar+	 : argon ion
C.lua         :	C	 : carbon
C_plus.lua    : C+   : carbon ion
C2.lua        : C2   : dicarbon
C2H.lua       :	C2H	 : ethynyl
C2H2.lua      :	C2H2	 : ethyne, acetylene
C2H3.lua      :	C2H3	 : ethylenyl, vinyl radical, ethynyl radical
C2H3CHO.lua   :	C2H3CHO	 : 2-propenal
C2H4.lua      :	C2H4	 : ethene, ethylene
C2H5.lua      :	C2H5	 : ethyl radical
C2H6.lua      :	C2H6	 : ethane
C2H4O.lua     : C2H4O    : ethylene oxide
C2O.lua       :	C2O	 : dicarbon monoxide 
C3H2.lua      :	C3H2	 : n3
C3H3.lua      :	C3H3	 : n4
C3H6.lua      :	C3H6	 : propene
C3H7.lua      :	C3H7	 : isopropyl radical
C3H8.lua      :	C3H8	 : propane
C4H.lua	      : C4H	 : n5
C4H2.lua      :	C4H2	 : n6
C4H4.lua      :	C4H4	 : n/a
C4H6.lua      :	C4H6	 : n/a
C4H612.lua    :	C4H612	 : n/a
C4H7.lua      :	C4H7	 : n/a
C4H81.lua     :	C4H81	 : n/a
C5H4O.lua     : C5H4O	 :  n/a
C5H4OH.lua    :	C5H4OH	 : n/a
C5H5.lua      :	C5H5	 : n/a
C5H5O.lua     :	C5H5O	 : n/a
C5H6.lua      :	C5H6	 : n/a
C6H2.lua      :	C6H2	 : n/a
C6H3.lua      :	C6H3	 : n/a
C6H5O.lua     :	C6H5O	 : n/a
C6H5OH.lua    :	C6H5OH	 : n/a
CH.lua        :	CH	 : methylidyne
CH2.lua       :	CH2	 : methylene
CH2_star.lua  :	CH2*	 : methylene single state (alias for CH2(S))
CH2CHO.lua    :	CH2CHO	 : acetaldehyde
CH2CO.lua     :	CH2CO	 : ethenone
CH2O.lua      :	CH2O	 : formaldehyde
CH2OH.lua     :	CH2OH	 : hydroxy methyl
CH2_S.lua     :	CH2_S	 : methylene single state CH2(S)
CH3.lua       :	CH3	 : methyl
CH3CCH2.lua   :	CH3CCH2  :	n/a
CH3CHCH.lua   :	CH3CHCH	 : n/a
CH3CHO.lua    :	CH3CHO	 : acetaldehyde
CH3CO.lua     :	CH3CO	 : methyloxidocarbon
CH3O.lua      :	CH3O	 : methoxide
CH3OH.lua     :	CH3OH	 : methanol
CH4.lua       :	CH4	 : methane
CHO.lua       :	CHO	 : aldehyde (2)
CN.lua        :	CN	 : cyanide
CO.lua        :	CO	 : carbon monoxide
CO_plus.lua   : CO+  : carbon monoxide ion
CO2.lua       :	CO2	 : carbon dioxide
H.lua         :	H	 : monatomic hydrogen
H_plus.lua    :	H+	 : hydrogen ion (proton)
H2.lua        :	H2	 : diatomic hydrogen
H2C4O.lua     :	H2C4O	 : n/a
H2CC.lua      :	H2CC	 : vinylidene
H2CN.lua      :	H2CN	 : methyleneaminyl radical
H2O.lua       :	H2O	 : water
H2O2.lua      :	H2O2	 : hydrogen peroxide
HCCO.lua      :	HCCO	 : ethynyloxy radical
HCCOH.lua     :	HCCOH	 : ethynol
HCN.lua       :	HCN	 : hydrogen cyanide
HCNN.lua      :	HCNN	 : hydrogen diazocarbene
HCNO.lua      :	HCNO	 : isocyanic acid (1)
HCO.lua       :	HCO	 : aldehyde
HI.lua        :	HI	 : hydrogen iodide
HNCO.lua      :	HNCO	 : isocyanic acid (2)
HNO.lua       :	HNO	 : nitroxyl
HNO2.lua      :	HNO2	 : nitrous acid
HNO3.lua      :	HNO3	 : nitric acid
HO2.lua       :	HO2	 : hydroperoxyl
HOCN.lua      :	HOCN	 : cyanic acid
He.lua        :	He	 : helium
He_plus.lua   : He+      : singly-ionized atomic helium
Ne.lua        : Ne       : neon
Ne_plus.lua   : Ne+      : singly-ionized atomic neon
I2.lua        :	I2	 : iodine
Kr.lua        :	Kr	 : krypton
N.lua         :	N	 : monatomic nitrogen
N_plus.lua    :	N+	 : singly-ionized atomic nitrogen
N2.lua        :	N2	 : diatomic nitrogen
N2_plus.lua   :	N2+	 : singly-ionized molecular nitrogen
N2O.lua       :	N2O	 : nitrous oxide
NCO.lua       :	NCO	 : isocyanade
NH.lua        :	NH	 : nitrate monohydride
NH2.lua       :	NH2	 : amine radical
NH3.lua       :	NH3	 : ammonia
NNH.lua       :	NNH	 : nitrous monohydride 
NO.lua        :	NO	 : nitrogen oxide
NO_plus.lua   :	NO+	 : singly-ionized nitrogen oxide
NO2.lua       :	NO2	 : nitrogen dioxide
O.lua         :	O	 : monatomic oxygen
O_plus.lua    :	O+	 : singly-ionized atomic oxygen
O2.lua        :	O2	 : diatomic oxygen
O2_plus.lua   :	O2+	 : singly-ionized molecular oxygen
O3.lua        :	O3	 : ozone
OH.lua        :	OH	 : hydroxyl radical
SF6.lua       :	SF6	 : sulphur hexafluorane
aC3H4.lua     :	aC3H4	 : allene
aC3H5.lua     :	aC3H5	 : allyl
air.lua       :	air	 : air
c-C6H4.lua    :	c-C6H4	 : n/a
cC3H4.lua     :	cC3H4	 : cC3H4
e_minus.lua   :	e-	 : electron
i-C4H3.lua    :	i-C4H3	 : n/a
i-C4H5.lua    :	i-C4H5	 : n/a
iC3H7.lua     :	iC3H7	 : n/a
l-C6H4.lua    :	l-C6H4	 : n/a
n-C4H3.lua    :	n-C4H3	 : n/a
n-C4H5.lua    :	n-C4H5	 : n/a
nC3H7.lua     :	nC3H7	 : CH3-CH2-CH2*
pC3H4.lua     :	pC3H4	 : n/a
